reaction,origin,added,notebook,notes
EX_fum_e,iML1515,automatic,3.1,none
EX_sbt__D_e,iML1515,automatic,3.1,none
EX_glu__L_e,iML1515,automatic,3.1,none
UDCPDPS,iML1515,automatic,3.1,none
ECOAH6,iML1515,automatic,3.1,none
USHD,iML1515,automatic,3.1,none
EX_gua_e,iML1515,automatic,3.1,none
ENO,iML1515,automatic,3.1,none
FBA,iML1515,automatic,3.1,none
HCO3E,iML1515,automatic,3.1,none
MGSA,iML1515,automatic,3.1,none
IMPC,iML1515,automatic,3.1,none
IMPD,iML1515,automatic,3.1,none
PPS,iML1515,automatic,3.1,none
ECOAH4,iML1515,automatic,3.1,none
LPADSS,iML1515,automatic,3.1,none
GLUTRS,iML1515,automatic,3.1,none
TDSK,iML1515,automatic,3.1,none
PGI,iML1515,automatic,3.1,none
TMPPP,iML1515,automatic,3.1,none
EX_btn_e,iML1515,automatic,3.1,none
PGK,iML1515,automatic,3.1,none
EX_ptrc_e,iML1515,automatic,3.1,none
EDA,iML1515,automatic,3.1,none
EX_spmd_e,iML1515,automatic,3.1,none
EX_thym_e,iML1515,automatic,3.1,none
EX_xtsn_e,iML1515,automatic,3.1,none
NTPP1,iML1515,automatic,3.1,none
URIK1,iML1515,automatic,3.1,none
URIK2,iML1515,automatic,3.1,none
NTPP2,iML1515,automatic,3.1,none
PGL,iML1515,automatic,3.1,none
NTPTP1,iML1515,automatic,3.1,none
NTPTP2,iML1515,automatic,3.1,none
CYTDK1,iML1515,automatic,3.1,none
RPE,iML1515,automatic,3.1,none
DHQTi,iML1515,automatic,3.1,none
IPMD,iML1515,automatic,3.1,none
AIRC3,iML1515,automatic,3.1,none
TALA,iML1515,automatic,3.1,none
PUNP1,iML1515,automatic,3.1,none
PUNP2,iML1515,automatic,3.1,none
PUNP3,iML1515,automatic,3.1,none
ADSL2r,iML1515,automatic,3.1,none
TKT1,iML1515,automatic,3.1,none
EX_fe2_e,iML1515,automatic,3.1,none
PUNP5,iML1515,automatic,3.1,none
PUNP6,iML1515,automatic,3.1,none
PUNP7,iML1515,automatic,3.1,none
G6PDA,iML1515,automatic,3.1,none
RNDR1,iML1515,automatic,3.1,none
ALCD2x,iML1515,automatic,3.1,none
RNDR3,iML1515,automatic,3.1,none
RNDR4,iML1515,automatic,3.1,none
ALDD2y,iML1515,automatic,3.1,none
TMDS,iML1515,automatic,3.1,none
RMI,iML1515,automatic,3.1,none
TMDK1,iML1515,automatic,3.1,none
LYSAM,iML1515,automatic,3.1,none
PPCDC,iML1515,automatic,3.1,none
FTHFD,iML1515,automatic,3.1,none
EX_glc__D_e,iML1515,automatic,3.1,none
DHAD1,iML1515,automatic,3.1,none
IPPMIa,iML1515,automatic,3.1,none
EX_alltn_e,iML1515,automatic,3.1,none
G3PD7,iML1515,automatic,3.1,none
EDD,iML1515,automatic,3.1,none
EX_ura_e,iML1515,automatic,3.1,none
NADH9,iML1515,automatic,3.1,none
EX_val__L_e,iML1515,automatic,3.1,none
NADH10,iML1515,automatic,3.1,none
ADK4,iML1515,automatic,3.1,none
INSK,iML1515,automatic,3.1,none
MDH,iML1515,automatic,3.1,none
ABTA,iML1515,automatic,3.1,none
EX_xan_e,iML1515,automatic,3.1,none
FUM,iML1515,automatic,3.1,none
FMNAT,iML1515,automatic,3.1,none
PYDXNK,iML1515,automatic,3.1,none
PYAM5PO,iML1515,automatic,3.1,none
SSALx,iML1515,automatic,3.1,none
ASPT,iML1515,automatic,3.1,none
OHPBAT,iML1515,automatic,3.1,none
SERD_L,iML1515,automatic,3.1,none
EX_dgsn_e,iML1515,automatic,3.1,none
NADDP,iML1515,automatic,3.1,none
EX_arab__L_e,iML1515,automatic,3.1,none
EX_fru_e,iML1515,automatic,3.1,none
THRD,iML1515,automatic,3.1,none
HEX4,iML1515,automatic,3.1,none
EX_gal_e,iML1515,automatic,3.1,none
NMNAT,iML1515,automatic,3.1,none
EX_xyl__D_e,iML1515,automatic,3.1,none
KARA1,iML1515,automatic,3.1,none
HMPK1,iML1515,automatic,3.1,none
KARA2,iML1515,automatic,3.1,none
EX_duri_e,iML1515,automatic,3.1,none
EX_for_e,iML1515,automatic,3.1,none
EX_gly_e,iML1515,automatic,3.1,none
EX_h2_e,iML1515,automatic,3.1,none
EX_lys__L_e,iML1515,automatic,3.1,none
ACCOAC,iML1515,automatic,3.1,none
NADK,iML1515,automatic,3.1,none
GLXCL,iML1515,automatic,3.1,none
ICHORS_copy2,iML1515,removed,3.1,Duplicate reaction. Removed in 4.1. Original was kept.
SUCBZS,iML1515,automatic,3.1,none
DHBD,iML1515,automatic,3.1,none
ICHORT,iML1515,automatic,3.1,none
EX_ser__L_e,iML1515,automatic,3.1,none
EX_thm_e,iML1515,automatic,3.1,none
EX_trp__L_e,iML1515,automatic,3.1,none
GLUTRR,iML1515,automatic,3.1,none
GLCS1,iML1515,automatic,3.1,none
GLCP,iML1515,automatic,3.1,none
EX_din_e,iML1515,automatic,3.1,none
RBK_L1,iML1515,automatic,3.1,none
RBP4E,iML1515,automatic,3.1,none
TARTD,iML1515,automatic,3.1,none
NTD2,iML1515,automatic,3.1,none
GLCRAL,iML1515,automatic,3.1,none
NTD4,iML1515,automatic,3.1,none
NTD5,iML1515,automatic,3.1,none
EX_fmn_e,iML1515,automatic,3.1,none
EX_gthox_e,iML1515,automatic,3.1,none
KAS14,iML1515,automatic,3.1,none
HEMEOS,iML1515,automatic,3.1,none
ADMDC,iML1515,automatic,3.1,none
AGMT,iML1515,automatic,3.1,none
NTD6,iML1515,automatic,3.1,none
LGTHL,iML1515,automatic,3.1,none
PYDXPP,iML1515,automatic,3.1,none
PDXPP,iML1515,automatic,3.1,none
ARGDC,iML1515,automatic,3.1,none
HACD6,iML1515,automatic,3.1,none
ECOAH1,iML1515,automatic,3.1,none
ECOAH2,iML1515,automatic,3.1,none
ARGSS,iML1515,automatic,3.1,none
AGPR,iML1515,automatic,3.1,none
SPMS,iML1515,automatic,3.1,none
G1SAT,iML1515,automatic,3.1,none
KDOCT2,iML1515,automatic,3.1,none
ECOAH3,iML1515,automatic,3.1,none
UGLT,iML1515,automatic,3.1,none
EDTXS1,iML1515,automatic,3.1,none
DXPS,iML1515,automatic,3.1,none
OAADC,iML1515,automatic,3.1,none
MNNH,iML1515,automatic,3.1,none
CDPMEK,iML1515,automatic,3.1,none
EDTXS2,iML1515,automatic,3.1,none
ALTRH,iML1515,automatic,3.1,none
MECDPS,iML1515,automatic,3.1,none
GUI1,iML1515,automatic,3.1,none
EDTXS3,iML1515,automatic,3.1,none
PGAMT,iML1515,automatic,3.1,none
DDGLK,iML1515,automatic,3.1,none
EDTXS4,iML1515,automatic,3.1,none
XYLI2,iML1515,automatic,3.1,none
PMANM,iML1515,automatic,3.1,none
ICL,iML1515,automatic,3.1,none
UAGDP,iML1515,automatic,3.1,none
UAGCVT,iML1515,automatic,3.1,none
GLUR,iML1515,automatic,3.1,none
EX_tmao_e,iML1515,automatic,3.1,none
UAG2E,iML1515,automatic,3.1,none
EX_acald_e,iML1515,automatic,3.1,none
GLYCL,iML1515,automatic,3.1,none
CMPN,iML1515,automatic,3.1,none
NNDPR,iML1515,automatic,3.1,none
EX_melib_e,iML1515,automatic,3.1,none
MACPD,iML1515,automatic,3.1,none
DMQMT,iML1515,automatic,3.1,none
UDPG4E,iML1515,automatic,3.1,none
LACZ,iML1515,automatic,3.1,none
TRE6PH,iML1515,automatic,3.1,none
XYLI1,iML1515,automatic,3.1,none
PPC,iML1515,automatic,3.1,none
ICHORS_copy1,iML1515,removed,3.1,"Combined with original reaction ""ICHORS"". Removed in 4.1. Adapted original was kept."
EX_sucr_e,iML1515,automatic,3.1,none
ALDD4,iML1515,automatic,3.1,none
HACD4,iML1515,automatic,3.1,none
G3PT,iML1515,automatic,3.1,none
EX_tre_e,iML1515,automatic,3.1,none
EX_zn2_e,iML1515,automatic,3.1,none
HACD5,iML1515,automatic,3.1,none
HACD7,iML1515,automatic,3.1,none
CITL,iML1515,automatic,3.1,none
GOFUCR,iML1515,automatic,3.1,none
PYDXK,iML1515,automatic,3.1,none
DNMPPA,iML1515,automatic,3.1,none
HPPK2,iML1515,automatic,3.1,none
PTPATi,iML1515,automatic,3.1,none
HEX7,iML1515,automatic,3.1,none
DXPRIi,iML1515,automatic,3.1,none
GTPCII2,iML1515,automatic,3.1,none
URIC,iML1515,automatic,3.1,none
SADT2,iML1515,automatic,3.1,none
OPHBDC,iML1515,automatic,3.1,none
AACPS1,iML1515,automatic,3.1,none
OHPHM,iML1515,automatic,3.1,none
GHMT2r,iML1515,automatic,3.1,none
DHORD2,iML1515,automatic,3.1,none
LCARS,iML1515,automatic,3.1,none
ALCD19,iML1515,automatic,3.1,none
RMPA,iML1515,automatic,3.1,none
SBTPD,iML1515,automatic,3.1,none
PFK_2,iML1515,automatic,3.1,none
GLTPD,iML1515,automatic,3.1,none
EX_hdcea_e,iML1515,automatic,3.1,none
ACACCT,iML1515,automatic,3.1,none
SDPDS,iML1515,automatic,3.1,none
BUTCT,iML1515,automatic,3.1,none
TGBPA,iML1515,automatic,3.1,none
MANAO,iML1515,automatic,3.1,none
TAGURr,iML1515,automatic,3.1,none
DMSOR1,iML1515,automatic,3.1,none
PGLYCP,iML1515,automatic,3.1,none
2DGULRx,iML1515,automatic,3.1,none
DKGLCNR2y,iML1515,automatic,3.1,none
G1PTT,iML1515,automatic,3.1,none
TDPGDH,iML1515,automatic,3.1,none
ADCS,iML1515,automatic,3.1,none
ADCL,iML1515,automatic,3.1,none
2DGULRy,iML1515,automatic,3.1,none
DHAPT,iML1515,automatic,3.1,none
EX_lac__D_e,iML1515,automatic,3.1,none
UMPK,iML1515,automatic,3.1,none
RZ5PP,iML1515,automatic,3.1,none
DDPGALA,iML1515,automatic,3.1,none
DURIK1,iML1515,automatic,3.1,none
G3PD6,iML1515,automatic,3.1,none
ALLTN,iML1515,automatic,3.1,none
UAPGR,iML1515,automatic,3.1,none
UPPRT,iML1515,automatic,3.1,none
NTD9,iML1515,automatic,3.1,none
CTPS2,iML1515,automatic,3.1,none
NTD1,iML1515,automatic,3.1,none
NTD7,iML1515,automatic,3.1,none
PAPPT3,iML1515,automatic,3.1,none
UAGPT3,iML1515,automatic,3.1,none
NDPK7,iML1515,automatic,3.1,none
AOBUTDs,iML1515,automatic,3.1,none
GLYAT,iML1515,automatic,3.1,none
ADNUC,iML1515,automatic,3.1,none
GMHEPPA,iML1515,automatic,3.1,none
S7PI,iML1515,automatic,3.1,none
TRPS3,iML1515,automatic,3.1,none
EX_ttdcea_e,iML1515,automatic,3.1,none
F6PA,iML1515,automatic,3.1,none
AGMHE,iML1515,automatic,3.1,none
CRNBTCT,iML1515,automatic,3.1,none
CRNCBCT,iML1515,automatic,3.1,none
NTD10,iML1515,automatic,3.1,none
CRNCDH,iML1515,automatic,3.1,none
GMHEPAT,iML1515,automatic,3.1,none
EX_h2s_e,iML1515,automatic,3.1,none
ADPT,iML1515,automatic,3.1,none
EX_gthrd_e,iML1515,automatic,3.1,none
FADRx,iML1515,automatic,3.1,none
GTPDPK,iML1515,automatic,3.1,none
NADN,iML1515,automatic,3.1,none
GLYCLTDx,iML1515,automatic,3.1,none
ADK1,iML1515,automatic,3.1,none
NDPK2,iML1515,automatic,3.1,none
NDPK3,iML1515,automatic,3.1,none
HPYRRy,iML1515,automatic,3.1,none
NDPK4,iML1515,automatic,3.1,none
ACODA,iML1515,automatic,3.1,none
ADA,iML1515,automatic,3.1,none
DADA,iML1515,automatic,3.1,none
ADD,iML1515,automatic,3.1,none
FCLT,iML1515,automatic,3.1,none
HBZOPT,iML1515,automatic,3.1,none
PNTK,iML1515,automatic,3.1,none
ADSS,iML1515,automatic,3.1,none
AGDC,iML1515,automatic,3.1,none
OCTDPS,iML1515,automatic,3.1,none
ASNN,iML1515,automatic,3.1,none
DPCOAK,iML1515,automatic,3.1,none
HETZK,iML1515,automatic,3.1,none
ASNS2,iML1515,automatic,3.1,none
ASPCT,iML1515,automatic,3.1,none
KDOPS,iML1515,automatic,3.1,none
KDOPP,iML1515,automatic,3.1,none
DMPPS,iML1515,automatic,3.1,none
EX_26dap__M_e,iML1515,automatic,3.1,none
MCOATA,iML1515,automatic,3.1,none
IPDPS,iML1515,automatic,3.1,none
AST,iML1515,automatic,3.1,none
SGDS,iML1515,automatic,3.1,none
DAPE,iML1515,automatic,3.1,none
DHDPRy,iML1515,automatic,3.1,none
EX_acnam_e,iML1515,automatic,3.1,none
HSK,iML1515,automatic,3.1,none
SDPTA,iML1515,automatic,3.1,none
GSPMDA,iML1515,automatic,3.1,none
GSPMDS,iML1515,automatic,3.1,none
GUAD,iML1515,automatic,3.1,none
THRS,iML1515,automatic,3.1,none
EX_amp_e,iML1515,automatic,3.1,none
HSST,iML1515,automatic,3.1,none
PPNDH,iML1515,automatic,3.1,none
TMAOR1,iML1515,automatic,3.1,none
TMAOR2,iML1515,automatic,3.1,none
DGK1,iML1515,automatic,3.1,none
DTMPK,iML1515,automatic,3.1,none
NDPK1,iML1515,automatic,3.1,none
TRDR,iML1515,automatic,3.1,none
DDPA,iML1515,automatic,3.1,none
NMNDA,iML1515,automatic,3.1,none
NNAM,iML1515,automatic,3.1,none
P5CD,iML1515,automatic,3.1,none
PGMT,iML1515,automatic,3.1,none
FRUK,iML1515,automatic,3.1,none
SPMDAT1,iML1515,automatic,3.1,none
RHCCE,iML1515,automatic,3.1,none
EX_dha_e,iML1515,automatic,3.1,none
KG6PDC,iML1515,automatic,3.1,none
SPMDAT2,iML1515,automatic,3.1,none
TDPADGAT,iML1515,automatic,3.1,none
MALS,iML1515,automatic,3.1,none
X5PL3E,iML1515,automatic,3.1,none
DOGULNR,iML1515,automatic,3.1,none
TRE6PP,iML1515,automatic,3.1,none
EX_fuc__L_e,iML1515,automatic,3.1,none
EX_met__D_e,iML1515,automatic,3.1,none
EX_tartr__L_e,iML1515,automatic,3.1,none
BETALDHx,iML1515,automatic,3.1,none
BETALDHy,iML1515,automatic,3.1,none
MLTG3,iML1515,automatic,3.1,none
EX_taur_e,iML1515,automatic,3.1,none
EX_maltpt_e,iML1515,automatic,3.1,none
EX_glyald_e,iML1515,automatic,3.1,none
EX_glcur_e,iML1515,automatic,3.1,none
ADPRDP,iML1515,automatic,3.1,none
DKGLCNR1,iML1515,automatic,3.1,none
NADTRHD,iML1515,automatic,3.1,none
AACPS2,iML1515,automatic,3.1,none
FMNRx2,iML1515,automatic,3.1,none
ACPS1,iML1515,automatic,3.1,none
EX_nmn_e,iML1515,automatic,3.1,none
EX_urea_e,iML1515,automatic,3.1,none
ARAI,iML1515,automatic,3.1,none
M1PD,iML1515,automatic,3.1,none
G3PD2,iML1515,automatic,3.1,none
GALS3,iML1515,automatic,3.1,none
FCI,iML1515,automatic,3.1,none
FCLK,iML1515,automatic,3.1,none
FCLPA,iML1515,automatic,3.1,none
GMPS2,iML1515,automatic,3.1,none
AMPN,iML1515,automatic,3.1,none
GSNK,iML1515,automatic,3.1,none
ACCOAL,iML1515,automatic,3.1,none
GALUi,iML1515,automatic,3.1,none
AACPS3,iML1515,automatic,3.1,none
U23GAAT,iML1515,automatic,3.1,none
EX_f6p_e,iML1515,automatic,3.1,none
UAAGDS,iML1515,automatic,3.1,none
AACPS4,iML1515,automatic,3.1,none
UAMAS,iML1515,automatic,3.1,none
UAMAGS,iML1515,automatic,3.1,none
UGLYCH,iML1515,automatic,3.1,none
NTPP3,iML1515,automatic,3.1,none
NTPP6,iML1515,automatic,3.1,none
NTPP7,iML1515,automatic,3.1,none
EX_rmn_e,iML1515,automatic,3.1,none
NTPP8,iML1515,automatic,3.1,none
P5CR,iML1515,automatic,3.1,none
CYANST,iML1515,automatic,3.1,none
EX_ttdca_e,iML1515,automatic,3.1,none
DHPPDA2,iML1515,automatic,3.1,none
G5SADs,iML1515,automatic,3.1,none
GMAND,iML1515,automatic,3.1,none
CYTD,iML1515,automatic,3.1,none
AKGDH,iML1515,automatic,3.1,none
HPYRRx,iML1515,automatic,3.1,none
GLYCDx,iML1515,automatic,3.1,none
ASP1DC,iML1515,automatic,3.1,none
UGMDDS,iML1515,automatic,3.1,none
DCYTD,iML1515,automatic,3.1,none
DBTS,iML1515,automatic,3.1,none
DCTPD,iML1515,automatic,3.1,none
UHGADA,iML1515,automatic,3.1,none
AMANK,iML1515,automatic,3.1,none
UAGAAT,iML1515,automatic,3.1,none
ATPPRT,iML1515,automatic,3.1,none
HISTD,iML1515,automatic,3.1,none
DHDPS,iML1515,automatic,3.1,none
G1PACT,iML1515,automatic,3.1,none
GART,iML1515,automatic,3.1,none
CSND,iML1515,automatic,3.1,none
GF6PTA,iML1515,automatic,3.1,none
IGPDH,iML1515,automatic,3.1,none
EX_glyclt_e,iML1515,automatic,3.1,none
PRPPS,iML1515,automatic,3.1,none
H2SO,iML1515,automatic,3.1,none
GLUCYS,iML1515,automatic,3.1,none
PRATPP,iML1515,automatic,3.1,none
GLUN,iML1515,automatic,3.1,none
PRMICI,iML1515,automatic,3.1,none
GLUPRT,iML1515,automatic,3.1,none
EX_g6p_e,iML1515,automatic,3.1,none
GMPR,iML1515,automatic,3.1,none
SERAT,iML1515,automatic,3.1,none
CYSS,iML1515,automatic,3.1,none
NADS1,iML1515,automatic,3.1,none
BPNT,iML1515,automatic,3.1,none
EX_2ddglcn_e,iML1515,automatic,3.1,none
PAPSR,iML1515,automatic,3.1,none
ASPK,iML1515,automatic,3.1,none
ASAD,iML1515,automatic,3.1,none
DAPDC,iML1515,automatic,3.1,none
EX_mmet_e,iML1515,automatic,3.1,none
NTRIR2x,iML1515,automatic,3.1,none
OCBT,iML1515,automatic,3.1,CIW80_16605 was added as additional gene in the GPR in notebook 4.5
GARFT,iML1515,automatic,3.1,none
GPDDA1,iML1515,automatic,3.1,none
GPDDA2,iML1515,automatic,3.1,none
PHETA1,iML1515,automatic,3.1,none
PPND,iML1515,automatic,3.1,none
METAT,iML1515,automatic,3.1,none
ASCBPL,iML1515,automatic,3.1,none
ACBIPGT,iML1515,automatic,3.1,none
TRPS1,iML1515,automatic,3.1,none
PRAMPC,iML1515,automatic,3.1,none
ADOCBLS,iML1515,automatic,3.1,none
EX_galct__D_e,iML1515,automatic,3.1,none
ADOCBIK,iML1515,automatic,3.1,none
TMPK,iML1515,automatic,3.1,none
MCITL2,iML1515,automatic,3.1,none
DXYLK,iML1515,automatic,3.1,none
MDH3,iML1515,automatic,3.1,none
SOTA,iML1515,automatic,3.1,none
SGSAD,iML1515,automatic,3.1,none
EX_idon__L_e,iML1515,automatic,3.1,none
GLYCK2,iML1515,automatic,3.1,none
PTA2,iML1515,automatic,3.1,none
MDH2,iML1515,automatic,3.1,none
EX_indole_e,iML1515,automatic,3.1,none
ACOTA,iML1515,automatic,3.1,none
GPDDA5,iML1515,automatic,3.1,none
PDX5PS,iML1515,automatic,3.1,none
PPBNGS,iML1515,automatic,3.1,none
ENTCS,iML1515,automatic,3.1,none
SULR,iML1515,automatic,3.1,none
URDGLYCD,iML1515,automatic,3.1,none
CBMKr,iML1515,automatic,3.1,none
PPNCL2,iML1515,automatic,3.1,none
PRAGSr,iML1515,automatic,3.1,none
PRFGS,iML1515,automatic,3.1,none
AMANAPEr,iML1515,automatic,3.1,none
EX_3hcinnm_e,iML1515,automatic,3.1,none
ACM6PH,iML1515,automatic,3.1,none
NNATr,iML1515,automatic,3.1,none
CYTDH,iML1515,automatic,3.1,none
EX_acac_e,iML1515,automatic,3.1,none
ETHAAL,iML1515,automatic,3.1,none
MAN1PT2,iML1515,automatic,3.1,none
PSERT,iML1515,automatic,3.1,none
AP4AH,iML1515,automatic,3.1,none
EX_acmana_e,iML1515,automatic,3.1,none
AP5AH,iML1515,automatic,3.1,none
ADNCYC,iML1515,automatic,3.1,none
AIRC2,iML1515,automatic,3.1,none
GAPD,iML1515,automatic,3.1,none
MI1PP,iML1515,automatic,3.1,none
EX_galur_e,iML1515,automatic,3.1,none
MCITS,iML1515,automatic,3.1,none
PPAKr,iML1515,automatic,3.1,none
HEX1,iML1515,automatic,3.1,none
GND,iML1515,automatic,3.1,none
TAUDO,iML1515,automatic,3.1,none
DM_amob_c,iML1515,automatic,3.1,none
NTP3,iML1515,automatic,3.1,none
PPM2,iML1515,automatic,3.1,none
MOAT2,iML1515,automatic,3.1,none
EX_adn_e,iML1515,automatic,3.1,none
EX_ins_e,iML1515,automatic,3.1,none
G6PDH2r,iML1515,automatic,3.1,none
ME2,iML1515,automatic,3.1,none
ARGSL,iML1515,automatic,3.1,none
CBPS,iML1515,automatic,3.1,none
GLU5K,iML1515,automatic,3.1,none
IPPS,iML1515,automatic,3.1,none
EX_mg2_e,iML1515,automatic,3.1,none
ACOATA,iML1515,automatic,3.1,none
NADH5,iML1515,automatic,3.1,none
MOHMT,iML1515,automatic,3.1,none
EX_glyc3p_e,iML1515,automatic,3.1,none
MLTG2,iML1515,automatic,3.1,none
EX_but_e,iML1515,automatic,3.1,none
MLTG1,iML1515,automatic,3.1,none
AMALT3,iML1515,automatic,3.1,none
MLTP3,iML1515,automatic,3.1,none
EX_lcts_e,iML1515,automatic,3.1,none
EX_ocdca_e,iML1515,automatic,3.1,none
EX_cbl1_e,iML1515,automatic,3.1,none
SPODM,iML1515,automatic,3.1,none
AHCYSNS,iML1515,automatic,3.1,none
ACNML,iML1515,automatic,3.1,none
TMK,iML1515,automatic,3.1,none
NTPP4,iML1515,automatic,3.1,none
GMPS,iML1515,automatic,3.1,none
CAT,iML1515,automatic,3.1,none
FTHFLi,iML1515,automatic,3.1,none
EX_nac_e,iML1515,automatic,3.1,none
UDPGD,iML1515,automatic,3.1,none
SERASr,iML1515,automatic,3.1,none
GLCRD,iML1515,automatic,3.1,none
26DAHtex,iML1515,automatic,3.1,none
HCINNMtex,iML1515,automatic,3.1,none
HPPPNtex,iML1515,automatic,3.1,none
ACtex,iML1515,automatic,3.1,none
ACALDtex,iML1515,automatic,3.1,none
CHRPL,iML1515,automatic,3.1,none
TDPAGTA,iML1515,automatic,3.1,none
UACMAMO,iML1515,automatic,3.1,none
FBA3,iML1515,automatic,3.1,none
PMPK,iML1515,automatic,3.1,none
LCADi,iML1515,automatic,3.1,none
ACMANAtex,iML1515,automatic,3.1,none
ACMUMtex,iML1515,automatic,3.1,none
ACACT7r,iML1515,automatic,3.1,none
PSP_L,iML1515,automatic,3.1,none
ADK3,iML1515,automatic,3.1,none
GLUDC,iML1515,automatic,3.1,none
ACACT2r,iML1515,automatic,3.1,none
BSORy,iML1515,automatic,3.1,none
DMSOR2,iML1515,automatic,3.1,none
