,CP022686.1
ECOLIN_01855,CIW80_19590
ECOLIN_01860,CIW80_19595
ECOLIN_01865,CIW80_19605
ECOLIN_01875,CIW80_19615
ECOLIN_01880,CIW80_19620
ECOLIN_01885,CIW80_19625
ECOLIN_01890,CIW80_19630
ECOLIN_01895,CIW80_19635
ECOLIN_01900,CIW80_19640
ECOLIN_01905,CIW80_19645
ECOLIN_01910,CIW80_19650
ECOLIN_01915,CIW80_19655
ECOLIN_01920,CIW80_19660
ECOLIN_01925,CIW80_19665
ECOLIN_01930,CIW80_19670
ECOLIN_01935,CIW80_19675
ECOLIN_01940,CIW80_19680
ECOLIN_01945,CIW80_19685
ECOLIN_01950,CIW80_19700
ECOLIN_01955,CIW80_19705
ECOLIN_01960,CIW80_19715
ECOLIN_01965,CIW80_19720
ECOLIN_01970,CIW80_19725
ECOLIN_01975,CIW80_19735
ECOLIN_01980,CIW80_19740
ECOLIN_01985,CIW80_19745
ECOLIN_01990,CIW80_19750
ECOLIN_01995,CIW80_19760
ECOLIN_02000,CIW80_19770
ECOLIN_02005,CIW80_19775
ECOLIN_02010,CIW80_19780
ECOLIN_02015,CIW80_19790
ECOLIN_02020,CIW80_19795
ECOLIN_02025,CIW80_19800
ECOLIN_02035,None
ECOLIN_02040,CIW80_19805
ECOLIN_02045,None
ECOLIN_02050,CIW80_19810
ECOLIN_02055,CIW80_19815
ECOLIN_02060,CIW80_19820
ECOLIN_02065,CIW80_19830
ECOLIN_02070,CIW80_19835
ECOLIN_02075,CIW80_19840
ECOLIN_02080,CIW80_19845
ECOLIN_02085,CIW80_19850
ECOLIN_02090,CIW80_19855
ECOLIN_02095,CIW80_19860
ECOLIN_02100,CIW80_19865
ECOLIN_02105,CIW80_19870
ECOLIN_02110,CIW80_19875
ECOLIN_02115,CIW80_19880
ECOLIN_02120,CIW80_19885
ECOLIN_02130,CIW80_19905
ECOLIN_02135,CIW80_19910
ECOLIN_02140,CIW80_19915
ECOLIN_02145,CIW80_19920
ECOLIN_02150,CIW80_19925
ECOLIN_02155,CIW80_19930
ECOLIN_02160,CIW80_19935
ECOLIN_02165,CIW80_19925
ECOLIN_02170,CIW80_19930
ECOLIN_02175,CIW80_19935
ECOLIN_02180,CIW80_19940
ECOLIN_02185,CIW80_19950
ECOLIN_02190,CIW80_19955
ECOLIN_02195,CIW80_19960
ECOLIN_02200,CIW80_19965
ECOLIN_02205,CIW80_19970
ECOLIN_02210,CIW80_19975
ECOLIN_02215,CIW80_19980
ECOLIN_02220,CIW80_19985
ECOLIN_02225,CIW80_19995
ECOLIN_02230,CIW80_20000
ECOLIN_02235,CIW80_20005
ECOLIN_02240,CIW80_20010
ECOLIN_02245,CIW80_20015
ECOLIN_02250,CIW80_20020
ECOLIN_02255,CIW80_20025
ECOLIN_02260,CIW80_20030
ECOLIN_02265,CIW80_20035
ECOLIN_02270,CIW80_20040
ECOLIN_02275,CIW80_20045
ECOLIN_02280,CIW80_20050
ECOLIN_02285,CIW80_20055
ECOLIN_02290,CIW80_20065
ECOLIN_02295,CIW80_20070
ECOLIN_02300,CIW80_20080
ECOLIN_02305,CIW80_20085
ECOLIN_02310,CIW80_20090
ECOLIN_02315,CIW80_20095
ECOLIN_02320,CIW80_20100
ECOLIN_02325,CIW80_20105
ECOLIN_02330,CIW80_20110
ECOLIN_02335,CIW80_20115
ECOLIN_02340,CIW80_20120
ECOLIN_02345,CIW80_20125
ECOLIN_02350,CIW80_20130
ECOLIN_02355,CIW80_20135
ECOLIN_02360,CIW80_20140
ECOLIN_02365,CIW80_20145
ECOLIN_02370,CIW80_20150
ECOLIN_02375,CIW80_20155
ECOLIN_02380,CIW80_20150
ECOLIN_02385,CIW80_20155
ECOLIN_02390,CIW80_20150
ECOLIN_02395,CIW80_20155
ECOLIN_02400,CIW80_20160
ECOLIN_02405,CIW80_20165
ECOLIN_02410,CIW80_20170
ECOLIN_02415,CIW80_20175
ECOLIN_02420,CIW80_20180
ECOLIN_02425,CIW80_20185
ECOLIN_02430,CIW80_20190
ECOLIN_02435,CIW80_20195
ECOLIN_02440,CIW80_20200
ECOLIN_02445,CIW80_20205
ECOLIN_02450,CIW80_20210
ECOLIN_02455,CIW80_20215
ECOLIN_02460,CIW80_20220
ECOLIN_02465,CIW80_20225
ECOLIN_02470,CIW80_20230
ECOLIN_02475,CIW80_20235
ECOLIN_02480,CIW80_20240
ECOLIN_02485,CIW80_20245
ECOLIN_02490,CIW80_20250
ECOLIN_02495,CIW80_20255
ECOLIN_02500,CIW80_20260
ECOLIN_02505,CIW80_20265
ECOLIN_02510,CIW80_20270
ECOLIN_02515,CIW80_20275
ECOLIN_02520,CIW80_20280
ECOLIN_02525,CIW80_20285
ECOLIN_02530,CIW80_20295
ECOLIN_02535,CIW80_20300
ECOLIN_02540,CIW80_20305
ECOLIN_02545,CIW80_20310
ECOLIN_02550,CIW80_20315
ECOLIN_02555,CIW80_20320
ECOLIN_02560,CIW80_20325
ECOLIN_02565,CIW80_20330
ECOLIN_02570,CIW80_20335
ECOLIN_02575,CIW80_20340
ECOLIN_02580,CIW80_20345
ECOLIN_02585,CIW80_20350
ECOLIN_02590,CIW80_20355
ECOLIN_02595,CIW80_20360
ECOLIN_02600,CIW80_20360
ECOLIN_02605,CIW80_20365
ECOLIN_02610,CIW80_20370
ECOLIN_02620,CIW80_20375
ECOLIN_02625,CIW80_20380
ECOLIN_02630,CIW80_20385
ECOLIN_02635,CIW80_20390
ECOLIN_02640,CIW80_20395
ECOLIN_02645,CIW80_20405
ECOLIN_02650,CIW80_20410
ECOLIN_02655,CIW80_20415
ECOLIN_02660,CIW80_20420
ECOLIN_02665,CIW80_20425
ECOLIN_02670,CIW80_20430
ECOLIN_02675,CIW80_20435
ECOLIN_02680,CIW80_20440
ECOLIN_02685,CIW80_20445
ECOLIN_02690,CIW80_20455
ECOLIN_02700,CIW80_20465
ECOLIN_02705,CIW80_20470
ECOLIN_02710,CIW80_20480
ECOLIN_02715,CIW80_20485
ECOLIN_02720,CIW80_20490
ECOLIN_02725,CIW80_20495
ECOLIN_02730,CIW80_20500
ECOLIN_02735,CIW80_20510
ECOLIN_02740,CIW80_20515
ECOLIN_02745,CIW80_20520
ECOLIN_02750,CIW80_20525
ECOLIN_02755,CIW80_20530
ECOLIN_02760,CIW80_20535
ECOLIN_02765,CIW80_20545
ECOLIN_02770,CIW80_20550
ECOLIN_02775,CIW80_20560
ECOLIN_02780,CIW80_20570
ECOLIN_02785,CIW80_20575
ECOLIN_02790,CIW80_20580
ECOLIN_02795,CIW80_20585
ECOLIN_02800,CIW80_20590
ECOLIN_02805,CIW80_20595
ECOLIN_02810,CIW80_20600
ECOLIN_02815,CIW80_20605
ECOLIN_02820,CIW80_20610
ECOLIN_02830,CIW80_20620
ECOLIN_02835,CIW80_20625
ECOLIN_02840,CIW80_20630
ECOLIN_02845,CIW80_20635
ECOLIN_02850,CIW80_20640
ECOLIN_02860,CIW80_20650
ECOLIN_02865,CIW80_20655
ECOLIN_02870,CIW80_20660
ECOLIN_02875,CIW80_20665
ECOLIN_02880,CIW80_20670
ECOLIN_02885,CIW80_20675
ECOLIN_02890,CIW80_20680
ECOLIN_02895,CIW80_20685
ECOLIN_02900,CIW80_20690
ECOLIN_02905,CIW80_20695
ECOLIN_02910,CIW80_20700
ECOLIN_02915,CIW80_20705
ECOLIN_02920,CIW80_20710
ECOLIN_02925,CIW80_20715
ECOLIN_02930,CIW80_20720
ECOLIN_02935,CIW80_20725
ECOLIN_02940,CIW80_20730
ECOLIN_02945,CIW80_20735
ECOLIN_02950,CIW80_20740
ECOLIN_02955,CIW80_20750
ECOLIN_02960,CIW80_20755
ECOLIN_02965,CIW80_20760
ECOLIN_02970,CIW80_20765
ECOLIN_02980,CIW80_20775
ECOLIN_02985,CIW80_20780
ECOLIN_02990,CIW80_20785
ECOLIN_03000,None
ECOLIN_03005,CIW80_20795
ECOLIN_03010,CIW80_20800
ECOLIN_03015,CIW80_20810
ECOLIN_03020,CIW80_20815
ECOLIN_03025,CIW80_20820
ECOLIN_03030,CIW80_20825
ECOLIN_03035,CIW80_20830
ECOLIN_03040,CIW80_20835
ECOLIN_03045,CIW80_20840
ECOLIN_03050,CIW80_20850
ECOLIN_03055,CIW80_20855
ECOLIN_03060,CIW80_20860
ECOLIN_03065,CIW80_20865
ECOLIN_03070,CIW80_20870
ECOLIN_03075,CIW80_20875
ECOLIN_03080,CIW80_20880
ECOLIN_03085,CIW80_20885
ECOLIN_03090,CIW80_20890
ECOLIN_03095,CIW80_20895
ECOLIN_03100,CIW80_20910
ECOLIN_03105,CIW80_20915
ECOLIN_03110,CIW80_20920
ECOLIN_03115,CIW80_20925
ECOLIN_03120,CIW80_20930
ECOLIN_03125,CIW80_20935
ECOLIN_03130,CIW80_20945
ECOLIN_03135,CIW80_20950
ECOLIN_03140,CIW80_20955
ECOLIN_03145,CIW80_20960
ECOLIN_03150,CIW80_20965
ECOLIN_03155,CIW80_20970
ECOLIN_03160,CIW80_20975
ECOLIN_03165,CIW80_20980
ECOLIN_03170,CIW80_20985
ECOLIN_03175,CIW80_20990
ECOLIN_03180,CIW80_20995
ECOLIN_03185,CIW80_21000
ECOLIN_03190,CIW80_21005
ECOLIN_03195,CIW80_21010
ECOLIN_03200,CIW80_21015
ECOLIN_03205,CIW80_21020
ECOLIN_03210,CIW80_21025
ECOLIN_03215,CIW80_21030
ECOLIN_03220,CIW80_21035
ECOLIN_03225,CIW80_21040
ECOLIN_03235,CIW80_21045
ECOLIN_03240,CIW80_21050
ECOLIN_03245,CIW80_21055
ECOLIN_03250,CIW80_21065
ECOLIN_03255,CIW80_21070
ECOLIN_03260,CIW80_21075
ECOLIN_03265,CIW80_21080
ECOLIN_03270,CIW80_21085
ECOLIN_03275,CIW80_21090
ECOLIN_03280,CIW80_21095
ECOLIN_03285,CIW80_21100
ECOLIN_03290,CIW80_21105
ECOLIN_03295,CIW80_21110
ECOLIN_03300,CIW80_21115
ECOLIN_03305,CIW80_21125
ECOLIN_03310,CIW80_21130
ECOLIN_03315,CIW80_21135
ECOLIN_03320,CIW80_21140
ECOLIN_03325,CIW80_21145
ECOLIN_03330,CIW80_21150
ECOLIN_03335,CIW80_21160
ECOLIN_03340,CIW80_21170
ECOLIN_03345,CIW80_21175
ECOLIN_03350,CIW80_21180
ECOLIN_03355,CIW80_21185
ECOLIN_03360,CIW80_21190
ECOLIN_03365,CIW80_21195
ECOLIN_03370,CIW80_21200
ECOLIN_03375,CIW80_21205
ECOLIN_03380,CIW80_21210
ECOLIN_03385,CIW80_21215
ECOLIN_03390,CIW80_21220
ECOLIN_03395,CIW80_21225
ECOLIN_03400,CIW80_21230
ECOLIN_03405,CIW80_21235
ECOLIN_03410,CIW80_21240
ECOLIN_03415,CIW80_21245
ECOLIN_03420,CIW80_21250
ECOLIN_03425,CIW80_21255
ECOLIN_03430,CIW80_21260
ECOLIN_03435,CIW80_21265
ECOLIN_03440,CIW80_21275
ECOLIN_03445,CIW80_21280
ECOLIN_03450,CIW80_21285
ECOLIN_03455,CIW80_21290
ECOLIN_03460,CIW80_21295
ECOLIN_03465,CIW80_21300
ECOLIN_03505,CIW80_21345
ECOLIN_03510,CIW80_21350
ECOLIN_03515,CIW80_21355
ECOLIN_03520,CIW80_21360
ECOLIN_03525,CIW80_21365
ECOLIN_03530,CIW80_21370
ECOLIN_03535,CIW80_21375
ECOLIN_03540,CIW80_21380
ECOLIN_03545,CIW80_21385
ECOLIN_03550,CIW80_21390
ECOLIN_03555,CIW80_21395
ECOLIN_03560,CIW80_21400
ECOLIN_03565,CIW80_21405
ECOLIN_03570,CIW80_21410
ECOLIN_03575,CIW80_21415
ECOLIN_03580,CIW80_21420
ECOLIN_03595,CIW80_21425
ECOLIN_03600,CIW80_21430
ECOLIN_03605,CIW80_21435
ECOLIN_03610,CIW80_21445
ECOLIN_03615,CIW80_21450
ECOLIN_03620,CIW80_21455
ECOLIN_03625,CIW80_21460
ECOLIN_03630,CIW80_21465
ECOLIN_03635,CIW80_21470
ECOLIN_03640,CIW80_21475
ECOLIN_03645,CIW80_21485
ECOLIN_03650,CIW80_21490
ECOLIN_03655,CIW80_21495
ECOLIN_03660,CIW80_21500
ECOLIN_03665,CIW80_21505
ECOLIN_03670,None
ECOLIN_03675,CIW80_21515
ECOLIN_03680,CIW80_21520
ECOLIN_03685,CIW80_21525
ECOLIN_03690,CIW80_21530
ECOLIN_03695,CIW80_21535
ECOLIN_03700,CIW80_21540
ECOLIN_03705,CIW80_21545
ECOLIN_03710,CIW80_21550
ECOLIN_03715,CIW80_21555
ECOLIN_03720,CIW80_21560
ECOLIN_03725,CIW80_21565
ECOLIN_03730,CIW80_21570
ECOLIN_03735,CIW80_21585
ECOLIN_03740,CIW80_21590
ECOLIN_03745,CIW80_21595
ECOLIN_03750,CIW80_21600
ECOLIN_03755,CIW80_21605
ECOLIN_03760,CIW80_21610
ECOLIN_03765,CIW80_21615
ECOLIN_03770,CIW80_21620
ECOLIN_03775,CIW80_21625
ECOLIN_03780,CIW80_21630
ECOLIN_03785,CIW80_21635
ECOLIN_03790,CIW80_21640
ECOLIN_03800,CIW80_21650
ECOLIN_03805,CIW80_21655
ECOLIN_03810,CIW80_21660
ECOLIN_03815,CIW80_21665
ECOLIN_03820,CIW80_21670
ECOLIN_03825,CIW80_21675
ECOLIN_03830,CIW80_21680
ECOLIN_03875,CIW80_21725
ECOLIN_03880,CIW80_21730
ECOLIN_03885,CIW80_21735
ECOLIN_03890,CIW80_21740
ECOLIN_03895,CIW80_21750
ECOLIN_03900,CIW80_21755
ECOLIN_03905,CIW80_21760
ECOLIN_03910,CIW80_21765
ECOLIN_03915,CIW80_21770
ECOLIN_03920,CIW80_21775
ECOLIN_03925,CIW80_21780
ECOLIN_03930,CIW80_21790
ECOLIN_03935,CIW80_21795
ECOLIN_03940,CIW80_21805
ECOLIN_03945,CIW80_21810
ECOLIN_03950,CIW80_21815
ECOLIN_03955,CIW80_21820
ECOLIN_03960,CIW80_21825
ECOLIN_03965,CIW80_21830
ECOLIN_03980,CIW80_21835
ECOLIN_03985,CIW80_21840
ECOLIN_03990,CIW80_21845
ECOLIN_03995,CIW80_21850
ECOLIN_04000,CIW80_21855
ECOLIN_04005,CIW80_21860
ECOLIN_04010,CIW80_21865
ECOLIN_04015,CIW80_21870
ECOLIN_04020,CIW80_21875
ECOLIN_04025,CIW80_21880
ECOLIN_04030,CIW80_21885
ECOLIN_04035,CIW80_21890
ECOLIN_04040,CIW80_21895
ECOLIN_04045,CIW80_21900
ECOLIN_04050,CIW80_21905
ECOLIN_04055,CIW80_21910
ECOLIN_04060,CIW80_21915
ECOLIN_04065,CIW80_21920
ECOLIN_04070,CIW80_21925
ECOLIN_04080,CIW80_21930
ECOLIN_04085,CIW80_21935
ECOLIN_04090,CIW80_21940
ECOLIN_04095,CIW80_21945
ECOLIN_04100,CIW80_21950
ECOLIN_04105,CIW80_21955
ECOLIN_04110,CIW80_21960
ECOLIN_04115,CIW80_21965
ECOLIN_04120,CIW80_21970
ECOLIN_04125,CIW80_21975
ECOLIN_04130,CIW80_21980
ECOLIN_04135,CIW80_21985
ECOLIN_04140,CIW80_21990
ECOLIN_04145,CIW80_21995
ECOLIN_04150,CIW80_22000
ECOLIN_04155,CIW80_22005
ECOLIN_04160,CIW80_22010
ECOLIN_04165,CIW80_22015
ECOLIN_04170,CIW80_22020
ECOLIN_04175,CIW80_22025
ECOLIN_04180,CIW80_22030
ECOLIN_04185,CIW80_22035
ECOLIN_04190,CIW80_22040
ECOLIN_04195,CIW80_22045
ECOLIN_04200,CIW80_22050
ECOLIN_04205,CIW80_22065
ECOLIN_04210,CIW80_22070
ECOLIN_04215,CIW80_22075
