ID,Name,Reaction Formula,Gene Rules,Subsystem,Essentiality,LB,UB,FVA_min,FVA_max,RHEA,BioCyc,MetaNetX (MNX) Equation,KEGG Reaction,SEED Reaction,EC Number,Reactome Reaction
SHK3Dr,Shikimate dehydrogenase,3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c,CIW80_10920 or CIW80_01330,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Essential,-1000.0,1000.0,0.4273411242693764,0.42734112426916937,17740,META:SHIKIMATE-5-DEHYDROGENASE-RXN,MNXR104378,R02413,rxn01740,1.1.1.282,R-MTU-964842
G5SD,Glutamate-5-semialdehyde dehydrogenase,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c,CIW80_19490,Arginine and Proline Metabolism,Essential,0.0,1000.0,0.2478645573308258,0.24786455732982562,19544,META:GLUTSEMIALDEHYDROG-RXN,MNXR99896,R03313,rxn02373,1.2.1.41,
ALATA_L2,Alanine transaminase,ala__L_c + pydx5p_c --> pyam5p_c + pyr_c,CIW80_22360 or CIW80_06560,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,0.0,-8.572999172765189e-13,30026,,MNXR95699,,rxn08103,,
MAN6PI,Mannose-6-phosphate isomerase,man6p_c <=> f6p_c,CIW80_00900,Alternate Carbon Metabolism,Not essential,-1000.0,1000.0,7.929591872676767e-13,0.0,,META:MANNPISOM-RXN,MNXR101382,R01819,,5.3.1.8,
APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c,CIW80_20185,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.0005000908939836672,0.0005000908939339877,17848,META:RIBOFLAVINSYNREDUC-RXN,MNXR95898,R03458,rxn02474,1.1.1.193,
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",ru5p__D_c --> db4p_c + for_c + h_c,CIW80_09695,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.0010001817879673341,0.0010001817878679754,,,MNXR97178,R07281,rxn05040,4.1.99.12,
RBFK,Riboflavin kinase,atp_c + ribflv_c --> adp_c + fmn_c + h_c,CIW80_17795,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.00025004544699185895,0.00025004544549150063,14360,META:RIBOFLAVINKIN-RXN,MNXR103429,R00549,rxn00392,2.7.1.26,R-XTR-196964
ACP1_FMN,Acid phosphatase (FMN),fmn_c + h2o_c --> pi_c + ribflv_c,CIW80_13940 or CIW80_20355 or CIW80_22225,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,0.0,-1.5002748552339094e-12,35590,META:RXN0-5187,MNXR95393,R00548,rxn00391,3.1.3.2,R-XTR-196950
RBFSb,Riboflavin synthase,2.0 dmlz_c --> 4r5au_c + ribflv_c,CIW80_01175,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.0005000908939836671,0.0005000908939339878,20775,META:RIBOFLAVIN-SYN-RXN,MNXR103430,R00066,rxn00048,2.5.1.9,
EX_pi_e,Phosphate exchange,pi_e <=> ,,Extracellular exchange,Essential,-1000,1000.0,-1.0815934459215075,-1.0815934459238292,32826,META:TRANS-RXN0-470,MNXR102871,,rxn13178,,
EX_h_e,H+ exchange,h_e <=> ,,Extracellular exchange,Not essential,-1000,1000.0,44.09259024330744,50.95091805619516,34982,META:RXN-14452,MNXR100765,,rxn11009,,R-XTR-74723
DMATT,Dimethylallyltranstransferase,dmpp_c + ipdp_c --> grdp_c + ppi_c,CIW80_20220,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.0003117158487162406,0.0003117158486902618,22411,META:GPPSYN-RXN,MNXR97512,R01658,rxn01213,2.5.1.1,R-XTR-191322
GRTT,Geranyltranstransferase,grdp_c + ipdp_c --> frdp_c + ppi_c,CIW80_20220,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.0003117158487162406,0.0003117158486902618,19364,META:FPPSYN-RXN,MNXR99634,R02003,rxn01466,2.5.1.10,R-XTR-191303
UPP3S,Uroporphyrinogen-III synthase,hmbil_c --> h2o_c + uppg3_c,CIW80_13885,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.0005000908939836164,0.0005000908939536109,18968,META:UROGENIIISYN-RXN,MNXR105139,R03165,rxn02264,4.2.1.75,R-XTR-189488
UPPDC1,Uroporphyrinogen decarboxylase (uroporphyrinogen III),4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c,CIW80_15050,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.00025004544699180827,0.00025004544696180276,19868,META:UROGENDECARBOX-RXN,MNXR105140,R03197,rxn02288,4.1.1.37,R-XTR-189425
TMDPP,Thymidine phosphorylase,pi_c + thymd_c <=> 2dr1p_c + thym_c,CIW80_17565,Nucleotide Salvage Pathway,Not essential,-1000.0,1000.0,0.0,-1.8753435690423888e-13,16040,META:THYM-PHOSPH-RXN,MNXR104887,R01570,rxn01146,2.4.2.4,
EX_ade_e,Adenine exchange,ade_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-1.0911089856246622e-13,,META:TRANS-RXN0-577,MNXR95445,,rxn10918,,
EX_4abut_e,4-Aminobutanoate exchange,4abut_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-5.45554492812336e-13,35038,,MNXR94993,,rxn11326,,R-XTR-888592
EX_ac_e,Acetate exchange,ac_e --> ,,Extracellular exchange,Not essential,0,1000.0,20.839582335272322,23.125691606235854,27817,META:TRANS-RXN0-567,MNXR95431,,rxn10904,,
EX_akg_e,2-Oxoglutarate exchange,akg_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-5.609119060940219e-13,,,MNXR95663,,rxn13220,,
EX_ala__L_e,L-Alanine exchange,ala__L_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-1.2340061934068375e-12,,,MNXR95706,,rxn13221,,
EX_arg__L_e,L-Arginine exchange,arg__L_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-1.6675759370362625e-13,32146,META:RXN66-448,MNXR95951,,rxn10840,,
EX_asp__L_e,L-Aspartate exchange,asp__L_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-6.170030967034173e-13,,META:TRANS-RXN0-554,MNXR96107,,rxn13232,,
EX_cytd_e,Cytidine exchange,cytd_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-1.4022797652350434e-13,,,MNXR97043,,rxn13338,,
EX_dcyt_e,Deoxycytidine exchange,dcyt_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-1.3127725461774882e-13,,,MNXR97208,,rxn11014,,
EX_fum_e,Fumarate exchange,fum_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-1.0938444844005905e-12,,META:TRANS-RXN0-553,MNXR99715,,rxn11013,,
EX_glu__L_e,L-Glutamate exchange,glu__L_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-7.292296562670515e-13,,META:TRANS-RXN-234,MNXR100301,,rxn13304,,R-XTR-210439
EX_gua_e,Guanine exchange,gua_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-1.3890088690801098e-13,,META:TRANS-RXN0-578,MNXR100465,,rxn10142,,
HCO3E,HCO3 equilibration reaction,co2_c + h2o_c <=> h_c + hco3_c,CIW80_18385,Unassigned,Essential,-1000.0,1000.0,0.5893716952000366,0.5893716951979892,10751,META:RXN0-5224,MNXR100482,R10092,rxn00102,4.2.1.1,R-XTR-1475436
IMPC,IMP cyclohydrolase,h2o_c + imp_c <=> fprica_c,CIW80_15100,Purine and Pyrimidine Biosynthesis,Essential,-1000.0,1000.0,-0.6083302979702161,-0.6083302979703006,18448,META:IMPCYCLOHYDROLASE-RXN,MNXR100783,R01127,rxn00832,3.5.4.10,R-XTR-73797
IMPD,IMP dehydrogenase,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,CIW80_06355,Purine and Pyrimidine Biosynthesis,Not essential,0.0,1000.0,0.2727266994656812,0.2727266994651499,11711,META:IMP-DEHYDROG-RXN,MNXR100830,R01130,rxn00834,1.1.1.205,R-XTR-73794
ECOAH4,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),3hdcoa_c <=> dc2coa_c + h2o_c,CIW80_05635 or CIW80_14210,Membrane Lipid Metabolism,Not essential,-1000.0,1000.0,0.3990411375578241,0.3990411375578712,31194,META:RXN-13616,MNXR97889,R04744,rxn03245,4.2.1.74,R-XTR-77344
GLUTRS,Glutamyl-tRNA synthetase,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,CIW80_05875,tRNA Charging,Essential,0.0,1000.0,0.004000727151868931,0.0040007271515189015,,,MNXR100295,R05578,rxn06937,6.1.1.24,R-HSA-380216
TMPPP,Thiamine-phosphate diphosphorylase,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c,CIW80_15030,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.00025004544699180816,0.0002500454469377911,22331,META:THI-P-SYN-RXN,MNXR104908,R03223,rxn02305,2.5.1.3,
URIK1,Uridine kinase  ATPUridine ,atp_c + uri_c --> adp_c + h_c + ump_c,CIW80_04120,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,-2.1876889688011963e-12,16828,META:URIDINEKIN-RXN,MNXR105162,R00964,rxn00709,2.7.1.48,
URIK2,Uridine kinase (GTP:Uridine),gtp_c + uri_c --> gdp_c + h_c + ump_c,CIW80_04120,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,-2.187688968801147e-12,27653,META:URKI-RXN,MNXR105163,R00968,rxn00713,2.7.1.48,
CYTDK1,ATP:cytidine 5'-phosphotransferase,atp_c + cytd_c --> adp_c + cmp_c + h_c,CIW80_04120,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,-2.1876889688011733e-12,24677,META:CYTIKIN-RXN,MNXR97041,R00513,rxn00365,2.7.1.48,
CYTDK2,Cytidine kinase (GTP),cytd_c + gtp_c --> cmp_c + gdp_c + h_c,CIW80_04120,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,-2.1876889688011527e-12,28165,META:CYTIDINEKIN-RXN,MNXR97042,R00517,rxn00369,2.7.1.48,
XPPT,Xanthine phosphoribosyltransferase,prpp_c + xan_c --> ppi_c + xmp_c,CIW80_19465,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,1.627981579688728e-13,-1.093844484400588e-12,10803,META:XANPRIBOSYLTRAN-RXN,MNXR105243,R02142,rxn01544,2.4.2.8,
HXPRT,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),hxan_c + prpp_c --> imp_c + ppi_c,CIW80_19465 or CIW80_18380,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,-1.093844484400587e-12,17976,META:HYPOXANPRIBOSYLTRAN-RXN,MNXR100752,R01132,rxn00836,2.4.2.8,
NDPK5,Nucleoside-diphosphate kinase (ATP:dGDP),atp_c + dgdp_c <=> adp_c + dgtp_c,CIW80_20510 or CIW80_06420,Nucleotide Salvage Pathway,Not essential,-1000.0,1000.0,1.6593853561226118e-12,-4.375377937602484e-12,27693,META:DGDPKIN-RXN,MNXR96118,R01857,rxn01353,2.7.4.6,
DHORTS,Dihydroorotase,dhor__S_c + h2o_c <=> cbasp_c + h_c,CIW80_23920,Purine and Pyrimidine Biosynthesis,Essential,-1000.0,1000.0,-0.3709138279712825,-0.3709138279715509,24299,META:DIHYDROOROT-RXN,MNXR97428,R01993,rxn01465,3.5.2.3,R-XTR-73571
OMPDC,Orotidine-5'-phosphate decarboxylase,h_c + orot5p_c --> co2_c + ump_c,CIW80_25370,Purine and Pyrimidine Biosynthesis,Essential,0.0,1000.0,0.37091382797154804,0.37091382797120726,11599,META:OROTPDECARB-RXN,MNXR102190,R00965,rxn00710,4.1.1.23,R-XTR-73564
CS,Citrate synthase,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,CIW80_21570,Citric Acid Cycle,Essential,0.0,1000.0,1.2055913194709256,1.2055913194687407,16848,META:RXN-14905,MNXR96920,R00351,rxn00256,2.3.3.3,R-XTR-70975
ICDHyr,Isocitrate dehydrogenase (NADP),icit_c + nadp_c <=> akg_c + co2_c + nadph_c,CIW80_24300,Citric Acid Cycle,Essential,-1000.0,1000.0,1.2055913194709253,1.2055913194691739,19632,,MNXR100781,R00267,rxn00198,1.1.1.42,
ACALD,Acetaldehyde dehydrogenase (acetylating),acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c,CIW80_25140,Pyruvate Metabolism,Not essential,-1000.0,1000.0,3.3187707122450967e-12,-4.375377937602374e-12,23291,META:ACETALD-DEHYDROG-RXN,MNXR95210,R00228,rxn00171,1.2.1.10,
ACS,Acetyl-CoA synthetase,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,CIW80_15590,Pyruvate Metabolism,Not essential,0.0,1000.0,0.0,-2.187688968801174e-12,23179,META:ACETATE--COA-LIGASE-RXN,MNXR95413,R00235,rxn00175,6.2.1.1,R-XTR-8875071
PPA,Inorganic diphosphatase,h2o_c + ppi_c --> h_c + 2.0 pi_c,CIW80_07420 or CIW80_06310 or CIW80_16495,Anaplerotic Reactions,Essential,0.0,1000.0,3.896893257127222,3.89689325712122,24579,META:INORGPYROPHOSPHAT-RXN,MNXR100808,R00004,rxn11226,3.6.1.1,R-XTR-71732
PPCK,Phosphoenolpyruvate carboxykinase,atp_c + oaa_c --> adp_c + co2_c + pep_c,CIW80_11530,Anaplerotic Reactions,Not essential,0.0,1000.0,0.0,-2.076297905243482e-12,18620,META:PEPCARBOXYKIN-RXN,MNXR103099,R00341,rxn00247,4.1.1.49,
ME1,Malic enzyme (NAD),mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,CIW80_00380,Anaplerotic Reactions,Not essential,0.0,1000.0,0.0,-2.0302890312068366e-12,12656,META:1.1.1.39-RXN,MNXR101446,R00214,rxn00159,1.1.1.39,
ALAR,Alanine racemase,ala__L_c <=> ala__D_c,CIW80_24810 or CIW80_15425,Alanine and Aspartate Metabolism,Essential,-1000.0,1000.0,0.04673719426687241,0.046737194262719814,20252,META:ALARACECAT-RXN,MNXR95693,R00401,rxn00283,5.1.1.1,
ALATA_L,L-alanine transaminase,akg_c + ala__L_c <=> glu__L_c + pyr_c,CIW80_05385 or CIW80_05780,Alanine and Aspartate Metabolism,Not essential,-1000.0,1000.0,-1000.0,998.8731068408097,19456,META:RXN-13698,MNXR95698,R00258,rxn00191,2.6.1.2,R-XTR-70524
XYLK,Xylulokinase,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c,CIW80_18000 or CIW80_12540,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,0.0,10967,META:XYLULOKIN-RXN,MNXR105255,R01639,rxn01199,2.7.1.17,R-XTR-5662466
RBK,Ribokinase,atp_c + rib__D_c --> adp_c + h_c + r5p_c,CIW80_13625,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,-3.4353292614028524e-12,,,MNXR103431,,,2.7.1.15,
GLYK,Glycerol kinase,atp_c + glyc_c --> adp_c + glyc3p_c + h_c,CIW80_14640,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,-6.8706585228056216e-12,21647,META:GLYCEROL-KIN-RXN,MNXR100348,R00847,rxn00615,2.7.1.30,R-XTR-75887
PPM,Phosphopentomutase,r1p_c <=> r5p_c,CIW80_17570,Alternate Carbon Metabolism,Not essential,-1000.0,1000.0,-1000.0,-0.0007546214645361099,,META:RXN-14456,MNXR103115,,,5.4.2.7,
ASPTA,Aspartate transaminase,akg_c + asp__L_c <=> glu__L_c + oaa_c,CIW80_22655 or CIW80_15440,Alanine and Aspartate Metabolism,Essential,-1000.0,1000.0,-3.2829094652054716,-3.282909465237367,21827,META:RXN-13697,MNXR96079,R00355,rxn00260,2.6.1.1,R-XTR-70613
FBP,Fructose-bisphosphatase,fdp_c + h2o_c --> f6p_c + pi_c,CIW80_16520 or CIW80_14635 or CIW80_13345,Glycolysis/Gluconeogenesis,Not essential,0.0,1000.0,0.0,-3.4353292614028524e-12,11067,,MNXR99465,,,3.1.3.11,
GLGC,Glucose-1-phosphate adenylyltransferase,atp_c + g1p_c + h_c --> adpglc_c + ppi_c,CIW80_11730,Glycolysis/Gluconeogenesis,Not essential,0.0,1000.0,0.0,-3.4353292614028524e-12,12123,META:GLUC1PADENYLTRANS-RXN,MNXR100243,R00948,rxn00695,2.7.7.27,
PYK,Pyruvate kinase,adp_c + h_c + pep_c --> atp_c + pyr_c,CIW80_02190 or CIW80_01245,Glycolysis/Gluconeogenesis,Not essential,0.0,1000.0,0.0,11.188377891193785,18160,META:PEPDEPHOS-RXN,MNXR103371,R00200,rxn00148,2.7.1.40,R-XTR-71670
A5PISO,Arabinose-5-phosphate isomerase,ru5p__D_c <=> ara5p_c,CIW80_10455 or CIW80_07210,Alternate Carbon Metabolism,Essential,-1000.0,1000.0,0.04363124858002349,0.043631248579929366,23107,META:DARAB5PISOM-RXN,MNXR95132,R01530,rxn01117,5.3.1.13,
EX_met__L_e,L-Methionine exchange,met__L_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-2.64290713113234e-13,,,MNXR101493,,rxn10976,,
EX_metsox_S__L_e,L-Methionine S-oxide exchange,metsox_S__L_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-2.9876341482365205e-13,,,MNXR101483,,rxn08915,,
IPPMIb,2-isopropylmalate hydratase,2ippm_c + h2o_c <=> 3c3hmp_c,CIW80_18060 and CIW80_18065,"Valine, Leucine, and Isoleucine Metabolism",Essential,-1000.0,1000.0,-0.5051714138006007,-0.5051714138056788,16296,META:3-ISOPROPYLMALISOM-RXN,MNXR100826,R03968,rxn02789,4.2.1.33,
ACHBS,2-aceto-2-hydroxybutanoate synthase,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,(CIW80_13230 and CIW80_13235) or (CIW80_18090 and CIW80_18095),"Valine, Leucine, and Isoleucine Metabolism",Essential,0.0,1000.0,0.32576436622907184,0.3257643662285221,27657,META:ACETOOHBUTSYN-RXN,MNXR95260,R08648,,2.2.1.6,
ACLS,Acetolactate synthase,h_c + 2.0 pyr_c --> alac__S_c + co2_c,(CIW80_18090 and CIW80_18095) or (CIW80_13230 and CIW80_13235),"Valine, Leucine, and Isoleucine Metabolism",Essential,0.0,1000.0,0.9804102571743837,0.9804102571726663,25252,META:ACETOLACTSYN-RXN,MNXR95271,R00226,,2.2.1.6,
PSCVT,3-phosphoshikimate 1-carboxyvinyltransferase,pep_c + skm5p_c <=> 3psme_c + pi_c,CIW80_22555,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Essential,-1000.0,1000.0,0.42734112426937665,0.42734112426890264,21259,META:2.5.1.19-RXN,MNXR103226,R03460,rxn02476,2.5.1.19,R-MTU-964886
ANS,Anthranilate synthase,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,CIW80_25255 and CIW80_25260,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Essential,0.0,1000.0,0.0637369208222213,0.06373692082190895,21735,META:ANTHRANSYN-RXN,MNXR95843,R00986,rxn00727,4.1.3.27,
ANPRT,Anthranilate phosphoribosyltransferase,anth_c + prpp_c --> ppi_c + pran_c,CIW80_25255,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Essential,0.0,1000.0,0.0637369208222213,0.06373692082190895,11771,META:PRTRANS-RXN,MNXR95842,R01073,rxn00791,2.4.2.18,
CHORM,Chorismate mutase,chor_c --> pphn_c,CIW80_06825 or CIW80_06830,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Essential,0.0,1000.0,0.3626040216591878,0.3626040216587584,13900,META:CHORISMATEMUT-RXN,MNXR96708,R01715,rxn01256,5.4.99.5,
CHORS,Chorismate synthase,3psme_c --> chor_c + pi_c,CIW80_05575,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Essential,0.0,1000.0,0.42734112426937665,0.4273411242689026,21023,META:CHORISMATE-SYNTHASE-RXN,MNXR96709,R01714,rxn01255,4.2.3.5,
IGPS,Indole-3-glycerol-phosphate synthase,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c,CIW80_25250,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Essential,0.0,1000.0,0.06373692082222132,0.06373692082190897,23479,META:IGPSYN-RXN,MNXR100814,R03508,rxn02507,4.1.1.48,
EX_crn_e,L-Carnitine exchange,crn_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,0.0,34962,,MNXR96906,,rxn09858,,
EX_fe3_e,Fe3+ exchange,fe3_e <=> ,,Extracellular exchange,Not essential,-1000,1000.0,-0.008754954470137518,-0.008754954498550464,34974,,MNXR99522,,rxn08492,,R-TGU-442368
EX_glcn_e,D-Gluconate exchange,glcn_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-1.2493742801716445e-12,,,MNXR100210,,rxn12424,,
EX_gln__L_e,L-Glutamine exchange,gln__L_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-1.057162852452929e-12,,META:TRANS-RXN-233,MNXR100259,,rxn10928,,R-TGU-212614
EX_glyc_e,Glycerol exchange,glyc_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-1.527013009098669e-12,29678,META:TRANS-RXN-131,MNXR100343,,rxn08658,,R-XTR-507871
EX_man_e,D-Mannose exchange,man_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-1.1452597568240035e-12,,,MNXR101402,,rxn12997,,
EX_mn2_e,Mn2+ exchange,mn2_e <=> ,,Extracellular exchange,Essential,-1000,1000.0,-0.0007748045016651034,-0.0007748045016651994,28702,META:TRANS-RXN0-487,MNXR101670,,rxn08952,,
EX_rib__D_e,D-Ribose exchange,rib__D_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-1.3743117081888084e-12,,,MNXR104036,,rxn09228,,
EX_sbt__D_e,D-Sorbitol exchange,sbt__D_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,0.0,,,MNXR104288,,rxn09662,,
ECOAH6,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),3htdcoa_c <=> h2o_c + td2coa_c,CIW80_05635 or CIW80_14210,Membrane Lipid Metabolism,Not essential,-1000.0,1000.0,0.31177864040350217,0.3117786403979126,31174,META:RXN-14273,MNXR97891,R04740,rxn03241,4.2.1.74,R-XTR-77277
ENO,Enolase,2pg_c <=> h2o_c + pep_c,CIW80_07580,Glycolysis/Gluconeogenesis,Not essential,-1000.0,1000.0,33.15097918515137,35.437088456089484,10167,META:2PGADEHYDRAT-RXN,MNXR97932,R00658,rxn00459,4.2.1.11,R-XTR-71660
FBA,Fructose-bisphosphate aldolase,fdp_c <=> dhap_c + g3p_c,CIW80_08350 or CIW80_04270,Glycolysis/Gluconeogenesis,Not essential,-1000.0,1000.0,1.6413979545251314e-11,19.024324534634516,14732,,MNXR99459,R01068,rxn00786,4.1.2.13,
