index,#plate_id,well_id,chemical,category,moa,co_id,EcNissle,EcNissle_gt3,MNXM,bigg,exchange,EcNissle_model_growth_rate,EcNissle_biolog_growth,EcNissle_model_growth,EcNissle_Prediction
PM01_D07,PM01,D07,a-Ketobutyric acid,carbon,"C-Source, carboxylic acid",C00109,1.66666666667,0,MNXM159,2obut,EX_2obut_e,#,No Growth,#,#
PM01_D08,PM01,D08,a-Methyl-D-Galactoside,carbon,"C-Source, carbohydrate",C03619,8.0,1,MNXM3304,#,EX_MNXM3304_e,#,Growth,#,#
PM01_D09,PM01,D09,a-D-Lactose,carbon,"C-Source, carbohydrate",C00243,7.66666666667,1,MNXM362,lcts,EX_lcts_e,0.46296660668161665,Growth,Growth,TP
PM01_D10,PM01,D10,Lactulose,carbon,"C-Source, carbohydrate",C07064,8.0,1,MNXM12073,#,EX_MNXM12073_e,#,Growth,#,#
PM01_D11,PM01,D11,Sucrose,carbon,"C-Source, carbohydrate",C00089,1.66666666667,0,MNXM167,sucr,EX_sucr_e,0.46296660668163003,No Growth,Growth,FP
PM01_D12,PM01,D12,Uridine,carbon,"C-Source, carbohydrate",C00299,8.66666666667,1,MNXM288,uri,EX_uri_e,0.9927726153601477,Growth,Growth,TP
PM01_E01,PM01,E01,L-Glutamine,carbon,"C-Source, amino acid",C00064,8.33333333333,1,MNXM37,gln__L,EX_gln__L_e,0.7843022992482583,Growth,Growth,TP
PM01_E02,PM01,E02,m-Tartaric acid,carbon,"C-Source, carboxylic acid",C00552,0.0,0,MNXM1031,tartr__M,EX_tartr__M_e,#,No Growth,#,#
PM01_E03,PM01,E03,D-Glucose-1-Phosphate,carbon,"C-Source, carbohydrate",C00103,8.66666666667,1,MNXM89588,g1p,EX_g1p_e,0.4629666066816294,Growth,Growth,TP
PM01_E04,PM01,E04,D-Fructose-6-Phosphate,carbon,"C-Source, carbohydrate",C00085,9.0,1,MNXM162235,f6p,EX_f6p_e,0.46296660668161327,Growth,Growth,TP
PM01_E05,PM01,E05,Tween 80,carbon,"C-Source, fatty acid",C11625,0.666666666667,0,#,MNXM88336,EX_MNXM88336_e,#,No Growth,#,#
PM01_E06,PM01,E06,a-Hydroxyglutaric acid-g-Lactone,carbon,"C-Source, carboxylic acid",,0.0,0,#,#,#,#,No Growth,#,#
PM01_E07,PM01,E07,a-Hydroxybutyric acid,carbon,"C-Source, carboxylic acid",C05984,4.0,1,MNXM4968,2hbut,EX_2hbut_e,#,Growth,#,#
PM01_E08,PM01,E08,b-Methyl-D-Glucoside,carbon,"C-Source, carbohydrate",,7.33333333333,1,#,mbdg,EX_mbdg_e,#,Growth,#,#
PM01_E09,PM01,E09,Adonitol,carbon,"C-Source, carbohydrate",C00474,5.0,1,MNXM1820,rbt,EX_rbt_e,#,Growth,#,#
PM01_E10,PM01,E10,Maltotriose,carbon,"C-Source, carbohydrate",C01835,8.0,1,MNXM468,malttr,EX_malttr_e,0.4629666066816196,Growth,Growth,TP
PM01_E11,PM01,E11,2`-Deoxyadenosine,carbon,"C-Source, carbohydrate",C00559,8.66666666667,1,MNXM625,dad_2,EX_dad_2_e,0.9927726153601782,Growth,Growth,TP
PM01_E12,PM01,E12,Adenosine,carbon,"C-Source, carbohydrate",C00212,8.66666666667,1,MNXM212,adn,EX_adn_e,0.9927726153601791,Growth,Growth,TP
PM01_F01,PM01,F01,Gly-Asp,carbon,"C-Source, amino acid",C02871,8.66666666667,1,MNXM92541,glu_asp__L,EX_gly_asp__L_e,#,Growth,#,#
PM01_F02,PM01,F02,Citric acid,carbon,"C-Source, carboxylic acid",C00158,0.0,0,MNXM131,cit,EX_cit_e,0.46296660668160483,No Growth,Growth,FP
PM01_F03,PM01,F03,m-Inositol,carbon,"C-Source, carbohydrate",C00137,0.0,0,MNXM127,inost,EX_inost_e,0,No Growth,No Growth,TN
PM01_F04,PM01,F04,D-Threonine,carbon,"C-Source, amino acid",C00820,0.666666666667,0,MNXM2514,#,EX_MNXM2514_e,#,No Growth,#,#
PM01_F05,PM01,F05,Fumaric acid,carbon,"C-Source, carboxylic acid",C00122,8.33333333333,1,MNXM93,fum,EX_fum_e,0.46296660668162387,Growth,Growth,TP
PM01_F06,PM01,F06,Bromosuccinic acid,carbon,"C-Source, carboxylic acid",,8.0,1,#,#,#,#,Growth,#,#
PM01_F07,PM01,F07,Propionic acid,carbon,"C-Source, carboxylic acid",C00163,8.0,1,MNXM356,ppa,EX_ppa_e,0.40696659025090703,Growth,Growth,TP
PM01_F08,PM01,F08,Mucic acid,carbon,"C-Source, carboxylic acid",C01807,8.33333333333,1,#,#,#,#,Growth,#,#
PM01_F09,PM01,F09,Glycolic acid,carbon,"C-Source, carboxylic acid",C00160,7.66666666667,1,MNXM222,glyclt,EX_glyclt_e,0.33289967601556814,Growth,Growth,TP
PM01_F10,PM01,F10,Glyoxylic acid,carbon,"C-Source, carboxylic acid",C00048,7.0,1,MNXM69,glx,EX_glx_e,#,Growth,#,#
PM01_F11,PM01,F11,D-Cellobiose,carbon,"C-Source, carbohydrate",C00185,1.33333333333,0,#,cellb,EX_cellb_e,0.4629666066816287,No Growth,Growth,FP
PM01_F12,PM01,F12,Inosine,carbon,"C-Source, carbohydrate",C00294,9.0,1,MNXM334,ins,EX_ins_e,0.9927726153601789,Growth,Growth,TP
PM01_G01,PM01,G01,Gly-Glu,carbon,"C-Source, amino acid",,7.66666666667,1,#,gly_L_glu__L,EX_gly_L_glu__L_e,#,Growth,#,#
PM01_G02,PM01,G02,Tricarballylic acid,carbon,"C-Source, carboxylic acid",,0.0,0,#,tcb,EX_tcb_e,#,No Growth,#,#
PM01_G03,PM01,G03,L-Serine,carbon,"C-Source, amino acid",C00065,8.66666666667,1,MNXM53,ser__L,EX_ser__L_e,0.6279965083887745,Growth,Growth,TP
PM01_G04,PM01,G04,L-Threonine,carbon,"C-Source, amino acid",C00188,8.0,1,MNXM142,thr__L,EX_thr__L_e,0.7312739375871873,Growth,Growth,TP
PM01_G05,PM01,G05,L-Alanine,carbon,"C-Source, amino acid",C00041,8.0,1,MNXM32,ala__L,EX_ala__L_e,0.6403211736790279,Growth,Growth,TP
PM01_G06,PM01,G06,Ala-Gly,carbon,"C-Source, amino acid",,7.66666666667,1,#,ala_L_gly__L,EX_ala_L_gly__L_e,#,Growth,#,#
PM01_G07,PM01,G07,Acetoacetic acid,carbon,"C-Source, carboxylic acid",C00164,0.0,0,MNXM154,acac,EX_acac_e,0.46296660668163936,No Growth,Growth,FP
PM01_G08,PM01,G08,N-Acetyl-D-Mannosamine,carbon,"C-Source, carbohydrate",C00645,7.66666666667,1,MNXM2403,acmana,EX_acmana_e,0.9927726153601735,Growth,Growth,TP
PM01_G09,PM01,G09,Mono-Methylsuccinate,carbon,"C-Source, carboxylic acid",,1.33333333333,0,#,methsucc,EX_methsucc_e,#,No Growth,#,#
PM01_G10,PM01,G10,Methylpyruvate,carbon,"C-Source, ester",,8.33333333333,1,#,#,#,#,Growth,#,#
PM01_G11,PM01,G11,D-Malic acid,carbon,"C-Source, carboxylic acid",C00497,5.33333333333,1,MNXM1608,mal__D,EX_mal__D_e,0.46296660668318873,Growth,Growth,TP
PM01_G12,PM01,G12,L-Malic acid,carbon,"C-Source, carboxylic acid",C00149,8.66666666667,1,MNXM98,mal__L,EX_mal__L_e,0.46296660668163314,Growth,Growth,TP
PM01_H01,PM01,H01,Gly-Pro,carbon,"C-Source, amino acid",,8.0,1,#,gly_L_pro__L,EX_gly_L_pro__L_e,#,Growth,#,#
PM01_H02,PM01,H02,p-Hydroxyphenyl Acetic acid,carbon,"C-Source, carboxylic acid",C00642,0.0,0,MNXM3863,4hphac,EX_4hphac_e,#,No Growth,#,#
PM01_H03,PM01,H03,m-Hydroxyphenyl Acetic acid,carbon,"C-Source, carboxylic acid",C05593,0.666666666667,0,MNXM1639,3hoxpac,EX_3hoxpac_e,#,No Growth,#,#
PM01_H04,PM01,H04,Tyramine,carbon,"C-Source, amine",C00483,0.0,0,MNXM603,tym,EX_tym_e,0,No Growth,No Growth,TN
PM01_H05,PM01,H05,D-Psicose,carbon,"C-Source, carbohydrate",C06468,4.0,1,MNXM8509,#,EX_MNXM8509_e,#,Growth,#,#
PM01_H06,PM01,H06,L-Lyxose,carbon,"C-Source, carbohydrate",C01508,4.33333333333,1,MNXM4641,lyx__L,EX_lyx__L_e,0.4629666066816211,Growth,Growth,TP
PM01_H07,PM01,H07,Glucuronamide,carbon,"C-Source, amide",D01791,0.333333333333,0,#,#,#,#,No Growth,#,#
PM01_H08,PM01,H08,Pyruvic acid,carbon,"C-Source, carboxylic acid",C00022,9.0,1,MNXM23,pyr,EX_pyr_e,0.46296660668163675,Growth,Growth,TP
PM01_H09,PM01,H09,L-Galactonic acid-g-Lactone,carbon,"C-Source, carboxylic acid",C01115,9.0,1,MNXM1085,#,EX_MNXM1085_e,#,Growth,#,#
PM01_H10,PM01,H10,D-Galacturonic acid,carbon,"C-Source, carboxylic acid",C00333,9.0,1,MNXM48464,galur,EX_galur_e,0.4629666066802916,Growth,Growth,TP
PM01_H11,PM01,H11,Phenylethylamine,carbon,"C-Source, amine",C05332,0.0,0,MNXM660,peamn,EX_peamn_e,0,No Growth,No Growth,TN
PM01_H12,PM01,H12,2-Aminoethanol,carbon,"C-Source, alcohol",C00189,0.0,0,MNXM218,etha,EX_etha_e,0.5566503478500053,No Growth,Growth,FP
PM02_A01,PM02,A01,Negative Control,Negative control,Negative control,,0.0,0,#,#,#,#,No Growth,#,#
PM02_A02,PM02,A02,Chondroitin Sulfate C,carbon,"C-Source, polymer",C00635,0.0,0,MNXM8395,#,EX_MNXM8395_e,#,No Growth,#,#
PM02_A03,PM02,A03,a-Cyclodextrin,carbon,"C-Source, polymer",,0.0,0,#,#,#,#,No Growth,#,#
PM02_A04,PM02,A04,b-Cyclodextrin,carbon,"C-Source, polymer",,0.0,0,#,#,#,#,No Growth,#,#
PM02_A05,PM02,A05,g-Cyclodextrin,carbon,"C-Source, polymer",,0.0,0,#,#,#,#,No Growth,#,#
PM02_A06,PM02,A06,Dextrin,carbon,"C-Source, polymer",C00721,7.0,1,#,dextrin,EX_dextrin_e,#,Growth,#,#
PM02_A07,PM02,A07,Gelatin,carbon,"C-Source, polymer",C01498,0.0,0,#,#,#,#,No Growth,#,#
PM02_A08,PM02,A08,Glycogen,carbon,"C-Source, polymer",C00182,0.0,0,MNXM55375,glycogen,EX_glycogen_e,#,No Growth,#,#
PM02_A09,PM02,A09,Inulin,carbon,"C-Source, polymer",C00368,0.0,0,#,#,#,#,No Growth,#,#
PM02_A10,PM02,A10,Laminarin,carbon,"C-Source, polymer",C00771,0.0,0,MNXM59700,#,EX_MNXM59700_e,#,No Growth,#,#
PM02_A11,PM02,A11,Mannan,carbon,"C-Source, polymer",C00464,0.0,0,#,mannan,EX_mannan_e,#,No Growth,#,#
PM02_A12,PM02,A12,Pectin,carbon,"C-Source, polymer",C00714,6.0,1,MNXM107600,pectin,EX_pectin_e,#,Growth,#,#
PM02_B01,PM02,B01,N-Acetyl-D-Galactosamine,carbon,"C-Source, carbohydrate",C01074,8.0,1,MNXM164782,acgal,EX_acgal_e,0.9927726153601815,Growth,Growth,TP
PM02_B02,PM02,B02,N-Acetyl-Neuraminic acid,carbon,"C-Source, carboxylic acid",C00270,7.0,1,MNXM227,acnam,EX_acnam_e,0.9927726153601817,Growth,Growth,TP
PM02_B03,PM02,B03,b-D-Allose,carbon,"C-Source, carbohydrate",C01487,7.0,1,MNXM1919,all__D,EX_all__D_e,0.4629666066816172,Growth,Growth,TP
PM02_B04,PM02,B04,Amygdalin,carbon,"C-Source, carbohydrate",C08325,0.0,0,MNXM4201,#,EX_MNXM4201_e,#,No Growth,#,#
PM02_B05,PM02,B05,D-Arabinose,carbon,"C-Source, carbohydrate",C00216,4.0,1,MNXM544,arab__D,EX_arab__D_e,#,Growth,#,#
PM02_B06,PM02,B06,D-Arabitol,carbon,"C-Source, carbohydrate",C01904,0.0,0,MNXM1018,abt__D,EX_abt__D_e,#,No Growth,#,#
PM02_B07,PM02,B07,L-Arabitol,carbon,"C-Source, carbohydrate",C00532,0.0,0,MNXM801,abt__L,EX_abt__L_e,#,No Growth,#,#
PM02_B08,PM02,B08,Arbutin,carbon,"C-Source, carbohydrate",C06186,0.0,0,MNXM2683,arbt,EX_arbt_e,0,No Growth,No Growth,TN
PM02_B09,PM02,B09,2-Deoxy-D-Ribose,carbon,"C-Source, carbohydrate",C01801,7.33333333333,1,MNXM90412,drib,EX_drib_e,#,Growth,#,#
PM02_B10,PM02,B10,i-Erythritol,carbon,"C-Source, carbohydrate",C00503,0.0,0,MNXM3592,#,EX_MNXM3592_e,#,No Growth,#,#
PM02_B11,PM02,B11,D-Fucose,carbon,"C-Source, carbohydrate",C01018,0.0,0,MNXM8489,#,EX_MNXM8489_e,#,No Growth,#,#
PM02_B12,PM02,B12,3-O-b-D-Galactopyranosyl-D-Arabinose,carbon,"C-Source, carbohydrate",,8.33333333333,1,#,#,#,#,Growth,#,#
PM02_C01,PM02,C01,Gentiobiose,carbon,"C-Source, carbohydrate",C08240,1.0,0,MNXM18038,#,EX_MNXM18038_e,#,No Growth,#,#
PM02_C02,PM02,C02,L-Glucose,carbon,"C-Source, carbohydrate",,0.0,0,#,glc__L,EX_glc__L_e,#,No Growth,#,#
PM02_C03,PM02,C03,D-Lactitol,carbon,"C-Source, carbohydrate",,7.0,1,#,#,#,#,Growth,#,#
PM02_C04,PM02,C04,D-Melezitose,carbon,"C-Source, carbohydrate",C08243,1.0,0,#,#,#,#,No Growth,#,#
PM02_C05,PM02,C05,Maltitol,carbon,"C-Source, carbohydrate",G00275,0.0,0,#,#,#,#,No Growth,#,#
PM02_C06,PM02,C06,a-Methyl-D-Glucoside,carbon,"C-Source, carbohydrate",,0.0,0,#,amdglc,EX_amdglc_e,#,No Growth,#,#
PM02_C07,PM02,C07,b-Methyl-D-Galactoside,carbon,"C-Source, carbohydrate",C03619,7.0,1,MNXM3304,#,EX_MNXM3304_e,#,Growth,#,#
PM02_C08,PM02,C08,3-Methylglucose,carbon,"C-Source, carbohydrate",,0.0,0,#,#,#,#,No Growth,#,#
PM02_C09,PM02,C09,b-Methyl-D-Glucuronic acid,carbon,"C-Source, carboxylic acid",C08350,7.33333333333,1,MNXM146121,#,EX_MNXM146121_e,#,Growth,#,#
PM02_C10,PM02,C10,a-Methyl-D-Mannoside,carbon,"C-Source, carbohydrate",,0.0,0,#,#,#,#,No Growth,#,#
PM02_C11,PM02,C11,b-Methyl-D-Xyloside,carbon,"C-Source, carbohydrate",,0.0,0,#,#,#,#,No Growth,#,#
PM02_C12,PM02,C12,Palatinose,carbon,"C-Source, carbohydrate",C01742,0.0,0,MNXM3518,pala,EX_pala_e,#,No Growth,#,#
PM02_D01,PM02,D01,D-Raffinose,carbon,"C-Source, carbohydrate",C00492,7.0,1,MNXM621,raffin,EX_raffin_e,#,Growth,#,#
PM02_D02,PM02,D02,Salicin,carbon,"C-Source, carbohydrate",C01451,0.0,0,MNXM2561,salcn,EX_salcn_e,#,No Growth,#,#
PM02_D03,PM02,D03,Sedoheptulosan,carbon,"C-Source, carbohydrate",,1.33333333333,0,#,#,#,#,No Growth,#,#
PM02_D04,PM02,D04,L-Sorbose,carbon,"C-Source, carbohydrate",C00247,7.0,1,MNXM588,srb__L,EX_srb__L_e,#,Growth,#,#
PM02_D05,PM02,D05,Stachyose,carbon,"C-Source, carbohydrate",C01613,1.33333333333,0,MNXM1503,stys,EX_stys_e,#,No Growth,#,#
PM02_D06,PM02,D06,D-Tagatose,carbon,"C-Source, carbohydrate",C00795,7.33333333333,1,MNXM92401,tag__D,EX_tag__D_e,#,Growth,#,#
PM02_D07,PM02,D07,Turanose,carbon,"C-Source, carbohydrate",G03588,0.333333333333,0,#,#,#,#,No Growth,#,#
PM02_D08,PM02,D08,Xylitol,carbon,"C-Source, carbohydrate",C00379,0.0,0,MNXM510,xylt,EX_xylt_e,#,No Growth,#,#
PM02_D09,PM02,D09,N-Acetyl-D-Glucosaminitol,carbon,"C-Source, carbohydrate",,0.0,0,#,#,#,#,No Growth,#,#
PM02_D10,PM02,D10,g-Amino-N-Butyric acid,carbon,"C-Source, carboxylic acid",C00334,0.0,0,MNXM192,4abut,EX_4abut_e,0.5626783730557529,No Growth,Growth,FP
PM02_D11,PM02,D11,d-Amino Valeric acid,carbon,"C-Source, carboxylic acid",C00431,0.0,0,MNXM792,5aptn,EX_5aptn_e,#,No Growth,#,#
PM02_D12,PM02,D12,Butyric acid,carbon,"C-Source, carboxylic acid",C00246,0.0,0,MNXM458,but,EX_but_e,0.36947818137114447,No Growth,Growth,FP
PM02_E01,PM02,E01,Capric acid,carbon,"C-Source, carboxylic acid",C01571,0.0,0,MNXM1043,dca,EX_dca_e,0.3215789632423318,No Growth,Growth,FP
PM02_E02,PM02,E02,Caproic acid,carbon,"C-Source, carboxylic acid",C01585,0.0,0,MNXM1653,hxa,EX_hxa_e,0.35089226620901665,No Growth,Growth,FP
PM02_E03,PM02,E03,Citraconic acid,carbon,"C-Source, carboxylic acid",C02226,0.0,0,MNXM2356,citac,EX_citac_e,#,No Growth,#,#
PM02_E04,PM02,E04,Citramalic acid,carbon,"C-Source, carboxylic acid",C00815,0.0,0,MNXM2357,citm,EX_citm_e,#,No Growth,#,#
PM02_E05,PM02,E05,D-Glucosamine,carbon,"C-Source, carbohydrate",C00329,8.0,1,MNXM533,gam,EX_gam_e,0.9927726153601577,Growth,Growth,TP
PM02_E06,PM02,E06,2-Hydroxybenzoic acid,carbon,"C-Source, carboxylic acid",C00805,0.0,0,MNXM378,salc,EX_salc_e,#,No Growth,#,#
PM02_E07,PM02,E07,4-Hydroxybenzoic acid,carbon,"C-Source, carboxylic acid",C00156,0.0,0,MNXM164,4hbz,EX_4hbz_e,#,No Growth,#,#
PM02_E08,PM02,E08,b-Hydroxybutyric acid,carbon,"C-Source, carboxylic acid",C01089,1.0,0,MNXM663,bhb,EX_bhb_e,#,No Growth,#,#
PM02_E09,PM02,E09,g-Hydroxybutyric acid,carbon,"C-Source, carboxylic acid",C00989,7.0,1,MNXM514,ghb,EX_ghb_e,#,Growth,#,#
PM02_E10,PM02,E10,a-Keto-Valeric acid,carbon,"C-Source, carboxylic acid",C00567,0.0,0,#,#,#,#,No Growth,#,#
PM02_E11,PM02,E11,Itaconic acid,carbon,"C-Source, carboxylic acid",C00490,0.0,0,MNXM1747,itacon,EX_itacon_e,#,No Growth,#,#
PM02_E12,PM02,E12,5-Keto-D-Gluconic acid,carbon,"C-Source, carboxylic acid",C01062,0.0,0,MNXM963,5dglcn,EX_5dglcn_e,0,No Growth,No Growth,TN
PM02_F01,PM02,F01,D-Lactic acid Methyl Ester,carbon,"C-Source, ester",,8.0,1,#,#,#,#,Growth,#,#
PM02_F02,PM02,F02,Malonic acid,carbon,"C-Source, carboxylic acid",C00383,0.0,0,MNXM477,malon,EX_malon_e,#,No Growth,#,#
PM02_F03,PM02,F03,Melibionic acid,carbon,"C-Source, carbohydrate",,7.0,1,#,#,#,#,Growth,#,#
PM02_F04,PM02,F04,Oxalic acid,carbon,"C-Source, carboxylic acid",C00209,0.0,0,MNXM291,oxa,EX_oxa_e,#,No Growth,#,#
PM02_F05,PM02,F05,Oxalomalic acid,carbon,"C-Source, carboxylic acid",C01990,0.0,0,MNXM3850,#,EX_MNXM3850_e,#,No Growth,#,#
PM02_F06,PM02,F06,Quinic acid,carbon,"C-Source, carboxylic acid",C00296,0.0,0,MNXM474,quin,EX_quin_e,0,No Growth,No Growth,TN
PM02_F07,PM02,F07,"D-Ribono-1,4-Lactone",carbon,"C-Source, carboxylic acid",,0.0,0,#,#,#,#,No Growth,#,#
PM02_F08,PM02,F08,Sebacic acid,carbon,"C-Source, carboxylic acid",C08277,0.0,0,MNXM9103,sebacid,EX_sebacid_e,#,No Growth,#,#
PM02_F09,PM02,F09,Sorbic acid,carbon,"C-Source, carboxylic acid",,0.0,0,#,#,#,#,No Growth,#,#
PM02_F10,PM02,F10,Succinamic acid,carbon,"C-Source, carboxylic acid",,0.0,0,#,#,#,#,No Growth,#,#
