ID,Name,Charge,Compartment,Elements,Formula,Formula weight,Reactions,Annotation
pydx5p_c,Pyridoxal 5'-phosphate,-2,c,"{'C': 8, 'H': 8, 'N': 1, 'O': 6, 'P': 1}",C8H8NO6P,245.125981,"frozenset({<Reaction BIOMASS_Ec_iML1515_core_75p37M at 0x16b2952be08>, <Reaction BIOMASS_Ec_iML1515_WT_75p37M at 0x16b29555648>, <Reaction ALATA_D2 at 0x16b26c90088>, <Reaction PYAM5PO at 0x16b27cd2688>, <Reaction PDX5POi at 0x16b28d45688>, <Reaction BIOMASS_EcN_iHM1533_core_59p80M at 0x16b299afa88>, <Reaction PYDXPP at 0x16b27d4b8c8>, <Reaction PDX5PO2 at 0x16b28d456c8>, <Reaction ALATA_L2 at 0x16b26c34788>, <Reaction PYDXK at 0x16b27dda9c8>})","{'Human Metabolome Database': ['HMDB01491'], 'bigg.metabolite': ['pydx5p'], 'biocyc': ['META:PYRIDOXAL_PHOSPHATE'], 'chebi': ['CHEBI:8668'], 'hmdb': ['HMDB01491'], 'inchi_key': ['NGVDGCNFYWLIFO-UHFFFAOYSA-L'], 'inchikey': ['NGVDGCNFYWLIFO-UHFFFAOYSA-L'], 'kegg.compound': ['C00018'], 'metanetx.chemical': ['MNXM161'], 'reactome': ['R-ALL-29390'], 'reactome.compound': ['29390'], 'sabiork': ['1271'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd00016']}"
3dhgulnp_c,3-keto-L-gulonate-6-phosphate,-3,c,"{'C': 6, 'H': 8, 'O': 10, 'P': 1}",C6H8O10P,271.095481,"frozenset({<Reaction KG6PDC at 0x16b27f48088>, <Reaction 3KGK at 0x16b2870c748>, <Reaction ASCBPL at 0x16b28072708>})","{'bigg.metabolite': ['3dhgulnp'], 'biocyc': ['META:CPD-2343'], 'chebi': ['CHEBI:58774'], 'inchi_key': ['BDUIIKXSXFDPEC-LWKDLAHASA-K'], 'inchikey': ['BDUIIKXSXFDPEC-LWKDLAHASA-K'], 'kegg.compound': ['C14899'], 'metanetx.chemical': ['MNXM1170'], 'sabiork': ['22145'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd10596']}"
g3ps_c,Glycerophosphoserine,-1,c,"{'C': 6, 'H': 13, 'N': 1, 'O': 8, 'P': 1}",C6H13NO8P,258.143081,"frozenset({<Reaction G3PSabcpp at 0x16b28b77ac8>, <Reaction GPDDA3 at 0x16b28d65348>})","{'bigg.metabolite': ['g3ps'], 'biocyc': ['META:CPD0-2030'], 'chebi': ['CHEBI:64945'], 'inchi_key': ['ZWZWYGMENQVNFU-UHNVWZDZSA-M'], 'inchikey': ['ZWZWYGMENQVNFU-UHNVWZDZSA-M'], 'metanetx.chemical': ['MNXM97117'], 'sabiork': ['27671'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd15468'], 'slm': ['000001192']}"
adphep_LD_c,ADP-L-glycero-D-manno-heptose,-2,c,"{'C': 17, 'H': 25, 'N': 5, 'O': 16, 'P': 2}",C17H25N5O16P2,617.3518220000001,"frozenset({<Reaction HEPT3 at 0x16b2971d988>, <Reaction AGMHE at 0x16b27e87548>, <Reaction HEPT1 at 0x16b28a5d248>, <Reaction HEPT2 at 0x16b28a71548>})","{'bigg.metabolite': ['adphep_LD'], 'biocyc': ['META:ADP-L-GLYCERO-D-MANNO-HEPTOSE'], 'chebi': ['CHEBI:61530'], 'inchi_key': ['KMSFWBYFWSKGGR-DTBZDYEHSA-L'], 'inchikey': ['KMSFWBYFWSKGGR-DTBZDYEHSA-L'], 'kegg.compound': ['C06398'], 'metanetx.chemical': ['MNXM857'], 'sabiork': ['1589'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd03831']}"
lyx__L_c,L-Lyxose,0,c,"{'C': 5, 'H': 10, 'O': 5}",C5H10O5,150.12990000000002,"frozenset({<Reaction LYXI at 0x16b2844e348>, <Reaction LYXt2pp at 0x16b28751448>})","{'bigg.metabolite': ['lyx__L'], 'biocyc': ['META:CPD-15867'], 'chebi': ['CHEBI:62321'], 'inchi_key': ['SRBFZHDQGSBBOR-AEQNFAKKSA-N'], 'inchikey': ['SRBFZHDQGSBBOR-AEQNFAKKSA-N'], 'kegg.compound': ['C01508'], 'metanetx.chemical': ['MNXM4641'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd01067']}"
din_p,Deoxyinosine,0,p,"{'C': 10, 'H': 12, 'N': 4, 'O': 4}",C10H12N4O4,252.22668000000002,"frozenset({<Reaction DINStex at 0x16b288b1d88>, <Reaction NTD12pp at 0x16b288bc288>, <Reaction DINSt2pp at 0x16b28374fc8>})","{'Human Metabolome Database': ['HMDB00071'], 'bigg.metabolite': ['din'], 'biocyc': ['META:DEOXYINOSINE'], 'chebi': ['CHEBI:4413'], 'hmdb': ['HMDB00071'], 'inchi_key': ['VGONTNSXDCQUGY-RRKCRQDMSA-N'], 'inchikey': ['VGONTNSXDCQUGY-RRKCRQDMSA-N'], 'kegg.compound': ['C05512'], 'metanetx.chemical': ['MNXM935'], 'sabiork': ['1896'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd03279']}"
2pg_c,D-Glycerate 2-phosphate,-3,c,"{'C': 3, 'H': 4, 'O': 7, 'P': 1}",C3H4O7P,183.033421,"frozenset({<Reaction GLYCK2 at 0x16b28095188>, <Reaction PGM at 0x16b28d54108>, <Reaction ENO at 0x16b27c16c48>})","{'Human Metabolome Database': ['HMDB62707'], 'bigg.metabolite': ['2pg'], 'biocyc': ['META:2-PG'], 'chebi': ['CHEBI:88350'], 'hmdb': ['HMDB00362', 'HMDB62707', 'HMDB03391'], 'inchi_key': ['GXIURPTVHJPJLF-UWTATZPHSA-K'], 'inchikey': ['GXIURPTVHJPJLF-UWTATZPHSA-K'], 'kegg.compound': ['C00631'], 'metanetx.chemical': ['MNXM275'], 'reactome': ['R-ALL-30485'], 'reactome.compound': ['30485'], 'sabiork': ['31'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd00482']}"
ptrc_p,Putrescine,2,p,"{'C': 4, 'H': 14, 'N': 2}",C4H14N2,90.16736,"frozenset({<Reaction PTRCtex at 0x16b284ea408>, <Reaction PTRCabcpp at 0x16b28747a08>, <Reaction PTRCt2pp at 0x16b28490f08>, <Reaction PTRCORNt7pp at 0x16b2891fb88>, <Reaction AGMPTRCtpp at 0x16b297645c8>})","{'Human Metabolome Database': ['HMDB60243'], 'bigg.metabolite': ['ptrc'], 'biocyc': ['META:PUTRESCINE'], 'chebi': ['CHEBI:8650'], 'hmdb': ['HMDB01414', 'HMDB60243'], 'inchi_key': ['KIDHWZJUCRJVML-UHFFFAOYSA-P'], 'inchikey': ['KIDHWZJUCRJVML-UHFFFAOYSA-P'], 'kegg.compound': ['C00134'], 'metanetx.chemical': ['MNXM118'], 'reactome': ['R-ALL-29610'], 'reactome.compound': ['29610', '141350'], 'sabiork': ['1941'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd12215']}"
malt_p,Maltose C12H22O11,0,p,"{'C': 12, 'H': 22, 'O': 11}",C12H22O11,342.29648,"frozenset({<Reaction MALTabcpp at 0x16b286999c8>, <Reaction MALTtexi at 0x16b2835ae48>, <Reaction MALTptspp at 0x16b28a410c8>})","{'bigg.metabolite': ['malt'], 'biocyc': ['META:MALTOSE'], 'chebi': ['CHEBI:6668'], 'envipath': ['32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/943ae27f-7875-4bcd-948d-1551ec9aa1ca'], 'inchi_key': ['GUBGYTABKSRVRQ-PICCSMPSSA-N'], 'inchikey': ['GUBGYTABKSRVRQ-PICCSMPSSA-N'], 'kegg.compound': ['C00897'], 'kegg.drug': ['D00044'], 'kegg.glycan': ['G00275'], 'metanetx.chemical': ['MNXM165'], 'reactome': ['R-ALL-868706'], 'reactome.compound': ['188986', '868706'], 'sabiork': ['5881', '88', '1669'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd00665']}"
pppn_p,Phenylpropanoate,-1,p,"{'C': 9, 'H': 9, 'O': 2}",C9H9O2,149.16656,"frozenset({<Reaction PPPNt2rpp at 0x16b2891cb08>, <Reaction PPPNtex at 0x16b284bd6c8>})","{'Human Metabolome Database': ['HMDB00764'], 'bigg.metabolite': ['pppn'], 'biocyc': ['META:3-PHENYLPROPIONATE'], 'chebi': ['CHEBI:8103'], 'envipath': ['32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/30aa6284-bd6a-41ed-b40d-bdbb4fb60d5f', '650babc9-9d68-4b73-9332-11972ca26f7b/compound/515e549e-edf3-4c3e-b898-1f1754d887f6'], 'hmdb': ['HMDB00764'], 'inchi_key': ['XMIIGOLPHOKFCH-UHFFFAOYSA-M'], 'inchikey': ['XMIIGOLPHOKFCH-UHFFFAOYSA-M'], 'kegg.compound': ['C05629'], 'metanetx.chemical': ['MNXM1403'], 'sabiork': ['20964'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd03343']}"
arbtn_p,Aerobactin minus Fe3,-3,p,"{'C': 22, 'H': 33, 'N': 4, 'O': 13}",C22H33N4O13,561.51642,"frozenset({<Reaction ARBTNtex at 0x16b2844b688>, <Reaction ARBTNtpp at 0x16b28443b48>})","{'bigg.metabolite': ['arbtn'], 'metanetx.chemical': ['MNXM96506'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd15411']}"
hphhlipa_c,Heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA,-8,c,"{'C': 131, 'H': 231, 'N': 2, 'O': 60, 'P': 3}",C131H231N2O60P3,2887.134523,"frozenset({<Reaction HEPT3 at 0x16b2971d988>, <Reaction HEPK2 at 0x16b297b5fc8>, <Reaction HEPKA2 at 0x16b2970f9c8>})","{'bigg.metabolite': ['hphhlipa'], 'biocyc': ['META:CPD0-2238'], 'inchi_key': ['OCKKDDJUVZAABC-XSAOWLIJSA-G'], 'inchikey': ['OCKKDDJUVZAABC-XSAOWLIJSA-G'], 'metanetx.chemical': ['MNXM56168'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd15488']}"
phphhlipa_c,Phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA,-10,c,"{'C': 131, 'H': 230, 'N': 2, 'O': 63, 'P': 4}",C131H230N2O63P4,2965.0985439999995,frozenset({<Reaction HEPK2 at 0x16b297b5fc8>}),"{'bigg.metabolite': ['phphhlipa'], 'biocyc': ['META:CPD0-2239'], 'inchi_key': ['MVYTXVAKEAWEGM-WMKPBWIYSA-D'], 'inchikey': ['MVYTXVAKEAWEGM-WMKPBWIYSA-D'], 'metanetx.chemical': ['MNXM75133'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd15550']}"
13dpg_c,3-Phospho-D-glyceroyl phosphate,-4,c,"{'C': 3, 'H': 4, 'O': 10, 'P': 2}",C3H4O10P2,262.005382,"frozenset({<Reaction PGK at 0x16b27c3e808>, <Reaction GAPD at 0x16b280e8e08>})","{'Human Metabolome Database': ['HMDB62758'], 'bigg.metabolite': ['13dpg'], 'biocyc': ['META:DPG'], 'chebi': ['CHEBI:57604'], 'hmdb': ['HMDB62758'], 'inchi_key': ['LJQLQCAXBUHEAZ-UWTATZPHSA-J'], 'inchikey': ['LJQLQCAXBUHEAZ-UWTATZPHSA-J'], 'kegg.compound': ['C00236'], 'metanetx.chemical': ['MNXM261'], 'reactome': ['R-ALL-29800'], 'reactome.compound': ['29800'], 'sabiork': ['21215'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd00203']}"
murein3px4p_p,"Two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)",-4,p,"{'C': 71, 'H': 107, 'N': 13, 'O': 38}",C71H107N13O38,1750.67358,"frozenset({<Reaction MLDCP1App at 0x16b27bcef08>, <Reaction MDDEP2pp at 0x16b29051fc8>, <Reaction BIOMASS_Ec_iML1515_WT_75p37M at 0x16b29555648>})","{'bigg.metabolite': ['murein3px4p'], 'biocyc': ['META:CPD0-2273'], 'inchi_key': ['LOVDDQLBOGPFKC-UHFFFAOYSA-H'], 'inchikey': ['LOVDDQLBOGPFKC-UHFFFAOYSA-H'], 'metanetx.chemical': ['MNXM88341'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd15503']}"
34dhpac_e,"3,4-Dihydroxyphenylacetaldehyde",0,e,"{'C': 8, 'H': 8, 'O': 3}",C8H8O3,152.14731999999998,"frozenset({<Reaction 34dhpactex at 0x16b28ceeb48>, <Reaction EX_34dhpac_e at 0x16b28b096c8>})","{'Human Metabolome Database': ['HMDB06778'], 'bigg.metabolite': ['34dhpac'], 'biocyc': ['META:34-DIHYDROXYPHENYLACETALDEHYDE'], 'chebi': ['CHEBI:27978'], 'hmdb': ['HMDB06778', 'HMDB03791', 'HMDB06256'], 'inchi_key': ['IADQVXRMSNIUEL-UHFFFAOYSA-N'], 'inchikey': ['IADQVXRMSNIUEL-UHFFFAOYSA-N'], 'kegg.compound': ['C04043'], 'metanetx.chemical': ['MNXM1401'], 'sabiork': ['7037'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd02500']}"
1odec11eg3p_c,1-octadec-11-enoyl-sn-glycerol 3-phosphate,-2,c,"{'C': 21, 'H': 39, 'O': 7, 'P': 1}",C21H39O7P1,434.50392100000005,"frozenset({<Reaction G3PAT181 at 0x16b28d7c988>, <Reaction APG3PAT181 at 0x16b29254bc8>, <Reaction AGPAT181 at 0x16b28fa6b88>})","{'bigg.metabolite': ['1odec11eg3p'], 'metanetx.chemical': ['MNXM91049'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd15328']}"
12dgr181_p,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",0,p,"{'C': 39, 'H': 72, 'O': 5}",C39H72O5,620.9859799999999,"frozenset({<Reaction PAPA181pp at 0x16b28f31708>, <Reaction PETNT181pp at 0x16b2951f648>, <Reaction 12DGR181tipp at 0x16b29091e08>})","{'bigg.metabolite': ['12dgr181'], 'metanetx.chemical': ['MNXM3775'], 'sbo': 'SBO:0000247'}"
anhgm_e,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid,-1,e,"{'C': 19, 'H': 29, 'N': 2, 'O': 12}",C19H29N2O12,477.43976,"frozenset({<Reaction EX_anhgm_e at 0x16b291a3c48>, <Reaction ANHGMtex at 0x16b28a3bcc8>})","{'bigg.metabolite': ['anhgm'], 'metanetx.chemical': ['MNXM3060'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd15396']}"
prbamp_c,1-(5-Phosphoribosyl)-AMP,-4,c,"{'C': 15, 'H': 19, 'N': 5, 'O': 14, 'P': 2}",C15H19N5O14P2,555.283982,"frozenset({<Reaction PRATPP at 0x16b28029d88>, <Reaction PRAMPC at 0x16b28077808>})","{'Human Metabolome Database': ['HMDB12276'], 'bigg.metabolite': ['prbamp'], 'biocyc': ['META:PHOSPHORIBOSYL-AMP'], 'chebi': ['CHEBI:8166'], 'hmdb': ['HMDB12276'], 'inchi_key': ['RTQMRTSPTLIIHM-KEOHHSTQSA-J'], 'inchikey': ['RTQMRTSPTLIIHM-KEOHHSTQSA-J'], 'kegg.compound': ['C02741'], 'metanetx.chemical': ['MNXM1515'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd01777']}"
dsbdrd_c,Fused thiol:disulfide interchange protein (reduced),0,c,"{'X': 1, 'H': 2}",XH2,,"frozenset({<Reaction DSBDR at 0x16b28fe2d08>, <Reaction TDSR1 at 0x16b28feb208>, <Reaction TDSR2 at 0x16b290a8ec8>})","{'bigg.metabolite': ['dsbdrd'], 'metanetx.chemical': ['MNXM8620'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd15451']}"
cu2_p,Copper,2,p,{'Cu': 1},Cu,63.546,"frozenset({<Reaction CU2abcpp at 0x16b2883f088>, <Reaction CU1Opp at 0x16b28e3d088>, <Reaction CU2tpp at 0x16b291e1408>, <Reaction CU2tex at 0x16b28a64448>})","{'Human Metabolome Database': ['HMDB00657'], 'bigg.metabolite': ['cu2'], 'biocyc': ['META:CU+2'], 'chebi': ['CHEBI:49550'], 'hmdb': ['HMDB00657'], 'inchi_key': ['JPVYNHNXODAKFH-UHFFFAOYSA-N'], 'inchikey': ['JPVYNHNXODAKFH-UHFFFAOYSA-N'], 'kegg.compound': ['C00070'], 'metanetx.chemical': ['MNXM632'], 'reactome': ['R-ALL-936901'], 'reactome.compound': ['437295', '936901', '209799'], 'sabiork': ['19'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd00058']}"
sla_c,Sulpholactaldehyde,-1,c,"{'C': 3, 'H': 5, 'O': 5, 'S': 1}",C3H5O5S,153.1338,"frozenset({<Reaction 3SLAR at 0x16b298a9188>, <Reaction 6D6SPA at 0x16b29902108>})","{'bigg.metabolite': ['sla'], 'sbo': 'SBO:0000247'}"
14glucan_p,"1,4-alpha-D-glucan",0,p,"{'C': 36, 'H': 62, 'O': 31}",C36H62O31,990.85888,"frozenset({<Reaction AAMYLpp at 0x16b286ac708>, <Reaction 14GLUCANabcpp at 0x16b288ab708>, <Reaction 14GLUCANtexi at 0x16b288b1808>})","{'bigg.metabolite': ['14glucan'], 'biocyc': ['META:1-4-alpha-D-Glucan'], 'metanetx.chemical': ['MNXM2905'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd21754']}"
grdp_c,Geranyl diphosphate,-3,c,"{'C': 10, 'H': 17, 'O': 7, 'P': 2}",C10H17O7P2,311.18530200000004,"frozenset({<Reaction DMATT at 0x16b27bea408>, <Reaction GRTT at 0x16b27becb08>})","{'Human Metabolome Database': ['HMDB06506'], 'bigg.metabolite': ['grdp'], 'biocyc': ['META:GERANYL-PP'], 'chebi': ['CHEBI:58057'], 'hmdb': ['HMDB01285', 'HMDB02239', 'HMDB06506', 'HMDB01560'], 'inchi_key': ['GVVPGTZRZFNKDS-JXMROGBWSA-K'], 'inchikey': ['GVVPGTZRZFNKDS-JXMROGBWSA-K'], 'kegg.compound': ['C00341'], 'lipidmaps': ['LMPR0102010001'], 'metanetx.chemical': ['MNXM100'], 'reactome': ['R-ALL-191409'], 'reactome.compound': ['191409'], 'sabiork': ['5050', '1846'], 'sbo': 'SBO:0000247', 'seed.compound': ['cpd03476']}"
