,CU651637,CP001855,CP002167,CP000468,CP000946,CP000819,CP001665,AM946981,CP001509,CP001396,CP001637,AP012030,CU928162,CP000802,CU928160,CP002516,AP009240,AP009378,CP000948,U00096,AP009048,CP002185,CP002967,FN554766,CU928145,AP010958,AP010960,CP001164,AE005174,BA000007,CP001368,AP010953,CP001846,CP000970,FM180568,CP000800,FN649414,CP002729,CP001969,CU928161,CP000247,CP001671,AE014075,CU928164,CP002797,CU928163,CP000243,CP001063,CP000036,CP000034,CP001383,AE014073,AE005674,CP000266,CP000038
CIW80_00055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIW80_00060,100.0,100.0,100.0,100.0,99.815,99.631,99.63,99.638,99.631,99.638,99.63,99.638,100.0,99.638,99.815,99.819,99.819,100.0,99.638,99.638,99.631,99.815,99.815,99.638,99.815,99.819,99.819,99.815,99.819,99.815,99.819,99.819,99.819,99.815,99.819,99.819,99.815,99.815,100.0,100.0,100.0,99.815,100.0,37.426,100.0,99.815,100.0,99.457,99.819,99.457,99.638,99.638,99.638,99.446,99.819
CIW80_00065,0.0,0.0,98.529,0.0,0.0,95.588,0.0,0.0,95.588,0.0,0.0,0.0,97.059,0.0,95.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.588,0.0,0.0,0.0,95.588,0.0,0.0,0.0,95.588,0.0,0.0,0.0,0.0,0.0,0.0,98.529,0.0,0.0,0.0,0.0,0.0,94.118,0.0,0.0,95.588,94.118,94.118,94.118,94.118,0.0,95.588
CIW80_00070,100.0,100.0,100.0,0.0,98.667,98.667,98.667,98.667,98.667,98.667,98.667,98.667,100.0,98.667,98.667,98.667,98.667,100.0,98.667,98.667,98.667,98.667,98.667,98.667,98.667,98.667,98.667,96.0,94.643,96.0,96.0,98.667,96.0,98.667,100.0,98.667,98.667,98.667,100.0,100.0,100.0,100.0,100.0,0.0,100.0,98.667,100.0,96.0,94.643,98.214,98.667,98.214,98.214,98.667,98.214
CIW80_00075,98.889,98.889,98.889,98.889,98.315,97.778,97.778,97.778,97.778,97.778,97.778,97.778,99.444,98.315,98.876,98.315,98.876,98.333,97.778,97.778,97.778,98.315,98.315,98.333,98.876,98.876,98.315,27.928,96.939,96.939,27.928,97.753,97.753,99.444,98.889,98.315,97.778,97.778,98.889,98.889,99.444,100.0,100.0,27.928,97.778,98.333,98.889,98.876,98.876,96.667,98.315,98.315,98.315,98.876,98.876
CIW80_00080,98.471,98.471,97.859,97.859,96.942,97.554,97.554,97.554,97.554,96.942,96.942,96.942,98.471,96.942,97.248,96.942,96.942,98.165,96.942,96.942,96.942,96.942,96.942,96.942,96.33,96.942,97.368,97.248,97.248,97.248,97.248,96.942,97.248,98.165,97.554,96.942,96.942,96.942,97.859,97.859,97.859,100.0,100.0,0.0,98.165,97.554,97.859,95.652,97.255,95.833,97.248,97.248,97.248,97.554,97.248
CIW80_00085,99.698,99.698,99.698,99.698,99.396,99.396,99.396,99.396,99.396,99.396,99.396,99.396,99.698,99.094,99.396,99.094,99.094,100.0,99.396,99.396,99.396,99.094,99.094,99.094,99.396,99.698,99.396,99.396,99.396,99.396,99.396,99.396,99.396,100.0,99.698,99.698,99.094,99.094,99.698,99.698,100.0,100.0,100.0,0.0,99.698,99.094,99.698,98.489,99.094,98.187,99.396,99.396,99.396,99.396,99.396
CIW80_00090,98.485,98.485,100.0,100.0,97.475,97.475,97.475,97.475,97.475,99.495,99.495,99.495,98.99,97.475,100.0,100.0,100.0,98.99,99.495,99.495,99.495,100.0,100.0,98.99,99.495,98.99,99.495,98.99,98.99,98.99,98.99,99.495,98.99,100.0,98.99,99.495,98.485,98.485,100.0,100.0,98.99,100.0,100.0,27.619,98.99,98.99,99.495,98.485,98.99,99.495,99.495,99.495,98.99,98.99,99.495
CIW80_00095,99.552,99.552,99.552,99.552,99.552,99.552,99.552,99.552,99.552,99.552,99.552,99.552,99.552,99.552,99.103,99.552,99.552,99.552,99.552,99.552,99.552,99.552,99.552,98.206,99.552,99.552,99.552,99.552,99.552,99.552,99.552,99.552,99.552,99.552,99.552,99.103,99.103,99.552,99.552,99.552,99.552,100.0,100.0,0.0,99.552,98.206,99.552,0.0,99.083,99.038,97.309,97.309,95.395,99.103,0.0
CIW80_00100,96.931,96.931,0.0,98.267,98.462,98.462,98.462,98.462,98.462,98.462,98.462,98.462,99.237,97.767,97.692,98.462,98.205,97.277,98.462,98.462,98.462,98.462,98.462,98.21,98.462,97.436,97.436,0.0,97.772,98.21,0.0,97.949,97.525,97.72,98.21,97.519,98.205,98.462,98.21,98.21,97.772,100.0,99.752,0.0,97.187,97.772,98.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIW80_00105,99.441,99.441,99.441,99.441,97.207,97.207,97.207,97.207,97.207,97.207,97.207,97.207,99.441,97.207,97.765,97.207,96.648,98.883,97.207,97.207,97.207,97.207,97.207,97.765,96.089,96.648,97.207,97.207,97.207,97.207,97.207,97.207,97.207,97.765,98.883,97.207,96.648,97.207,99.441,99.441,100.0,100.0,100.0,24.051,98.883,98.883,99.441,24.051,24.051,98.324,24.051,24.051,24.051,0.0,96.648
CIW80_00110,99.235,99.388,99.847,99.694,98.93,98.93,98.93,98.93,98.93,98.777,98.777,98.777,99.847,98.93,98.93,98.93,99.083,99.235,98.777,98.777,98.777,98.93,98.93,98.93,98.93,98.624,99.235,98.777,98.777,98.777,98.777,99.083,98.777,99.083,99.694,98.93,98.93,98.777,99.847,99.694,99.083,100.0,100.0,32.765,99.235,98.471,99.847,32.765,32.765,98.583,32.765,32.765,32.765,32.765,98.471
CIW80_00115,100.0,100.0,100.0,0.0,97.403,96.104,98.246,97.403,97.403,97.403,97.403,97.403,100.0,97.403,97.403,97.403,97.403,100.0,97.403,97.403,97.403,97.403,97.403,98.701,97.403,97.403,97.403,98.246,97.403,98.246,97.403,97.403,97.403,100.0,100.0,97.403,97.403,98.246,100.0,100.0,100.0,100.0,100.0,0.0,100.0,97.403,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.403
CIW80_00120,98.529,98.485,0.0,0.0,97.468,97.468,97.468,97.468,97.468,97.468,97.468,97.468,98.529,97.468,97.468,96.203,96.203,97.059,97.468,97.468,97.468,96.203,96.203,96.203,97.468,97.468,97.468,97.468,96.203,97.468,97.468,97.468,97.468,97.468,0.0,97.468,97.468,97.468,100.0,100.0,97.059,100.0,100.0,0.0,96.97,92.405,100.0,0.0,0.0,97.468,0.0,0.0,0.0,0.0,97.468
CIW80_00125,99.147,99.147,99.36,99.36,98.721,98.721,98.721,98.721,98.721,98.721,98.721,98.721,98.934,98.507,98.294,98.081,98.081,99.574,98.721,98.721,98.721,98.081,98.081,98.294,98.294,98.294,98.294,98.294,98.081,98.294,98.294,99.237,98.294,98.721,99.36,98.507,98.507,98.077,99.36,99.36,98.934,100.0,99.787,28.866,99.574,98.294,99.36,34.792,25.926,97.868,25.641,25.641,25.641,25.641,98.081
CIW80_00130,100.0,100.0,99.215,99.215,97.906,98.168,98.168,98.168,98.168,98.168,98.168,98.168,100.0,97.906,97.906,97.906,97.644,98.953,98.168,98.168,98.168,97.906,97.906,97.382,97.906,98.168,97.906,97.644,97.644,97.644,97.644,97.906,97.644,97.906,100.0,97.906,98.168,98.429,99.215,99.215,100.0,100.0,100.0,27.586,98.953,98.691,99.215,27.586,27.586,97.906,27.586,27.586,27.586,27.586,97.906
CIW80_00135,99.112,99.112,98.817,98.817,97.337,97.633,97.633,97.633,97.633,97.633,97.633,97.633,99.112,97.337,97.633,97.633,97.929,97.929,97.633,97.633,97.633,97.633,97.633,97.041,97.929,97.633,97.337,97.633,97.633,97.633,97.633,97.633,97.337,97.633,99.112,97.929,97.337,97.337,98.817,98.556,99.112,100.0,100.0,45.146,97.929,97.929,98.817,44.715,44.715,97.041,44.309,44.309,42.5,44.309,97.929
CIW80_00140,99.363,99.363,99.682,99.682,99.363,99.363,99.363,99.363,99.363,99.045,99.045,99.045,99.682,99.363,99.682,99.682,99.363,100.0,99.045,99.045,99.045,99.682,99.682,98.408,99.682,99.682,99.682,99.682,99.363,99.363,99.682,99.363,99.682,99.363,100.0,99.682,99.363,99.363,99.682,99.682,100.0,100.0,100.0,34.146,100.0,98.408,99.682,35.0,35.0,35.0,99.138,35.0,99.138,35.0,35.0
CIW80_00145,98.868,98.868,99.245,99.245,99.245,99.623,99.623,99.623,99.623,99.623,99.623,99.623,98.868,99.623,99.245,99.245,99.623,99.623,99.623,99.623,99.623,99.245,99.245,98.113,99.245,98.868,99.245,98.868,99.245,99.245,98.868,99.245,99.209,98.868,99.623,99.245,99.623,99.245,99.245,99.245,99.623,100.0,100.0,31.737,99.623,98.113,99.245,31.737,31.737,31.737,99.623,99.245,99.623,99.623,98.868
CIW80_00150,100.0,100.0,100.0,100.0,98.947,98.737,98.737,98.737,98.737,98.526,98.526,98.526,100.0,98.947,98.947,99.158,98.947,99.789,98.526,98.526,98.526,99.158,99.158,98.947,98.737,98.947,98.737,99.158,99.158,99.158,99.158,98.947,99.368,99.368,99.789,98.947,98.526,98.947,100.0,100.0,100.0,100.0,100.0,38.924,99.789,98.947,100.0,37.866,40.291,98.316,98.526,98.526,98.526,98.737,98.526
CIW80_00155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,96.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.875,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIW80_00160,0.0,0.0,0.0,98.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIW80_00165,98.649,98.649,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.649,100.0,100.0,100.0,100.0,100.0,100.0,98.649,100.0,100.0,100.0,98.649,98.276,100.0,100.0,100.0,100.0,100.0,98.649,100.0,100.0,100.0,100.0,100.0,100.0,100.0,63.793,98.649,100.0,100.0,0.0,100.0,100.0,95.946,95.946,95.946,95.946,100.0
CIW80_00170,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.718,100.0,100.0,100.0,100.0,100.0,0.0,98.718,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
CIW80_00175,98.667,98.667,100.0,100.0,98.667,98.0,98.0,98.0,98.0,98.667,98.667,98.667,100.0,98.667,98.667,98.667,98.667,100.0,98.667,98.667,98.667,98.667,98.667,98.667,98.667,98.667,98.667,98.667,98.667,98.667,98.667,98.667,99.333,99.333,98.667,98.667,98.667,99.333,100.0,100.0,100.0,100.0,100.0,0.0,100.0,98.667,100.0,98.0,98.667,98.667,98.667,98.667,98.667,98.667,98.0
CIW80_00180,100.0,100.0,100.0,100.0,99.422,98.266,98.266,98.266,98.266,98.844,98.844,98.844,100.0,99.422,100.0,99.422,100.0,100.0,98.844,98.844,98.844,99.422,99.422,100.0,100.0,99.422,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.688,100.0,100.0,98.266,100.0,100.0,100.0,100.0,100.0,100.0,41.50899999999999,100.0,100.0,100.0,98.844,98.266,100.0,41.50899999999999,99.422,99.422,41.50899999999999,99.422
CIW80_00185,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIW80_00190,0.0,0.0,0.0,0.0,82.609,82.609,82.609,82.609,82.609,87.09700000000002,82.609,82.609,0.0,82.609,82.609,82.609,87.09700000000002,0.0,82.609,82.609,82.609,82.609,82.609,87.09700000000002,82.609,82.609,82.609,82.609,87.09700000000002,82.609,82.609,78.26100000000002,82.609,82.609,96.774,82.609,82.609,82.609,0.0,100.0,0.0,0.0,0.0,0.0,0.0,82.609,0.0,82.609,0.0,83.87100000000002,87.09700000000002,87.09700000000002,87.09700000000002,82.609,87.09700000000002
CIW80_00195,98.734,98.734,97.468,0.0,87.719,87.719,87.719,87.719,87.719,87.719,87.719,87.719,100.0,87.719,85.965,87.719,87.719,98.734,87.719,87.719,87.719,87.719,87.719,85.965,87.719,85.965,85.965,87.719,87.719,87.719,87.719,85.965,87.719,85.965,0.0,85.965,87.719,87.037,97.468,97.468,100.0,100.0,100.0,0.0,98.734,85.965,97.468,87.805,0.0,0.0,80.702,80.702,80.702,80.702,0.0
CIW80_00200,99.715,99.715,98.573,98.573,97.86,97.575,97.575,97.575,97.575,98.003,98.003,97.92,99.857,97.86,98.431,98.003,98.288,98.288,98.003,98.003,98.003,98.003,98.003,98.573,98.431,98.288,98.288,97.86,97.575,97.86,97.86,98.288,97.86,98.146,98.003,98.431,98.003,98.573,98.573,98.431,98.573,99.715,31.892,31.163,98.431,98.573,98.573,98.146,98.431,97.271,27.925,27.925,27.925,27.925,98.146
CIW80_00205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIW80_00210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIW80_00215,99.718,99.718,99.153,99.153,99.718,99.718,99.718,99.718,99.718,98.87,98.87,98.87,100.0,99.153,99.718,99.435,99.718,98.87,98.87,98.87,98.87,99.435,99.435,99.718,99.153,99.435,99.718,99.153,99.153,99.153,99.153,99.718,99.153,99.153,99.435,99.718,98.87,99.435,99.153,99.153,99.153,100.0,100.0,0.0,98.87,99.718,99.153,99.718,99.435,99.153,0.0,0.0,0.0,0.0,99.435
CIW80_00220,99.6,99.6,99.4,99.6,99.4,99.4,99.4,99.4,99.4,99.6,99.6,99.6,99.8,99.6,99.4,99.4,99.4,99.2,99.6,99.6,99.6,99.4,99.4,99.4,99.6,99.4,98.755,99.6,99.6,99.6,99.6,99.4,99.6,99.4,99.4,99.2,99.4,99.4,99.6,99.6,99.4,100.0,100.0,38.48,99.2,99.4,99.4,99.6,99.6,99.2,37.265,38.242,38.015,38.242,99.6
CIW80_00225,98.305,98.305,98.305,0.0,94.828,93.103,93.103,93.103,93.103,94.828,94.828,94.828,100.0,94.828,94.828,94.828,94.828,0.0,94.828,94.828,94.828,94.828,94.828,94.828,94.828,94.828,94.828,96.552,96.552,96.552,96.552,94.828,96.552,93.103,0.0,0.0,94.828,96.552,0.0,98.305,98.305,100.0,100.0,0.0,0.0,94.828,98.305,94.828,94.828,91.379,0.0,0.0,0.0,0.0,94.828
CIW80_00230,96.842,96.842,97.895,97.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.895,97.895,97.895,100.0,100.0,0.0,0.0,95.789,97.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIW80_00235,82.29299999999998,81.337,81.831,81.831,57.591,62.231,0.0,0.0,0.0,0.0,0.0,0.0,81.753,58.261,58.706,58.435,58.609,25.349,0.0,0.0,0.0,58.435,58.435,96.937,61.682,58.435,58.435,58.261,58.261,58.087,58.261,57.426,58.261,0.0,24.229,58.261,57.756,59.369,81.831,81.831,82.29299999999998,100.0,100.0,0.0,26.761,96.937,81.831,0.0,0.0,0.0,34.838,34.838,34.838,35.018,58.435
CIW80_00240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,99.576,0.0,0.0,94.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIW80_00245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.807,100.0,0.0,0.0,76.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIW80_00250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.47200000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,84.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIW80_00255,94.737,94.737,93.684,93.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.684,93.684,93.684,100.0,100.0,0.0,0.0,91.579,93.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIW80_00260,93.569,93.039,95.408,94.578,62.316,61.538,0.0,0.0,0.0,0.0,0.0,0.0,93.947,62.5,63.539,62.5,62.5,25.296,0.0,0.0,0.0,62.5,62.5,92.434,62.5,62.5,62.316,62.316,62.316,62.316,62.316,62.316,62.316,0.0,24.046,62.5,62.132,62.316,94.578,94.578,93.569,100.0,100.0,0.0,25.373,91.929,94.578,0.0,0.0,0.0,35.701,35.701,35.701,35.893,62.5
CIW80_00265,31.858,31.858,31.858,31.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.858,31.858,38.372,100.0,100.0,0.0,0.0,31.858,31.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIW80_00270,28.148000000000003,28.148000000000003,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,33.333,33.333,100.0,100.0,0.0,0.0,33.333,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIW80_00275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIW80_00280,86.20700000000002,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,78.26100000000002,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIW80_00285,0.0,100.0,100.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,87.5,100.0,85.417,87.5,0.0,87.5,0.0,0.0,0.0,0.0,87.5,87.5,0.0,87.5,87.5,87.5,0.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,95.833,0.0,0.0,0.0,0.0,0.0
CIW80_00290,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
