ID,Name,Reaction Formula,Gene Rules,Subsystem,Essentiality,LB,UB,FVA_min,FVA_max
G3PD5,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),glyc3p_c + q8_c --> dhap_c + q8h2_c,(CIW80_05160 and CIW80_05155 and CIW80_05150) or CIW80_11665,Oxidative Phosphorylation,Not essential,0.0,1000.0,0.0,9.658505030739735e-13
EX_acgam_e,N-Acetyl-D-glucosamine exchange,acgam_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,2.840736773746979e-13
EX_cellb_e,Cellobiose exchange,cellb_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,1.5091414110530712e-13
EX_chol_e,Choline exchange,chol_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,0.0
LEUTAi,Leucine transaminase (irreversible),4mop_c + glu__L_c --> akg_c + leu__L_c,CIW80_13715 or CIW80_15440,"Valine, Leucine, and Isoleucine Metabolism",Essential,0.0,1000.0,0.5051714138056742,0.5051714138060457
SHK3Dr,Shikimate dehydrogenase,3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c,CIW80_10920 or CIW80_01330,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Essential,-1000.0,1000.0,0.42734112426937265,0.4273411242695392
G5SD,Glutamate-5-semialdehyde dehydrogenase,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c,CIW80_19490,Arginine and Proline Metabolism,Essential,0.0,1000.0,0.24786455733082363,0.24786455733162852
ALATA_L2,Alanine transaminase,ala__L_c + pydx5p_c --> pyam5p_c + pyr_c,CIW80_22360 or CIW80_06560,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,0.0,9.658505030739543e-13
MAN6PI,Mannose-6-phosphate isomerase,man6p_c <=> f6p_c,CIW80_00900,Alternate Carbon Metabolism,Not essential,-1000.0,1000.0,-1.0468655966469045e-13,0.0
APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c,CIW80_20185,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.0005000908939838719,0.000500090894023783
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",ru5p__D_c --> db4p_c + for_c + h_c,CIW80_09695,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.0010001817879677437,0.001000181788047566
RBFK,Riboflavin kinase,atp_c + ribflv_c --> adp_c + fmn_c + h_c,CIW80_17795,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.0002500454469920659,0.000250045448199379
ACP1_FMN,Acid phosphatase (FMN),fmn_c + h2o_c --> pi_c + ribflv_c,CIW80_13940 or CIW80_20355 or CIW80_22225,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,0.0,1.207313128842473e-12
RBFSb,Riboflavin synthase,2.0 dmlz_c --> 4r5au_c + ribflv_c,CIW80_01175,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.0005000908939838719,0.0005000908940237831
EX_pi_e,Phosphate exchange,pi_e <=> ,,Extracellular exchange,Essential,-1000.0,1000.0,-1.0815934459240544,-1.0815934459235976
EX_h_e,H+ exchange,h_e <=> ,,Extracellular exchange,Not essential,-1000.0,1000.0,44.092590243310084,50.95091805621407
DMATT,Dimethylallyltranstransferase,dmpp_c + ipdp_c --> grdp_c + ppi_c,CIW80_20220,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.00031171584871623825,0.0003117158487329921
GRTT,Geranyltranstransferase,grdp_c + ipdp_c --> frdp_c + ppi_c,CIW80_20220,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.00031171584871623825,0.00031171584873299215
UPP3S,Uroporphyrinogen-III synthase,hmbil_c --> h2o_c + uppg3_c,CIW80_13885,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.0005000908939836121,0.0005000908940051409
UPPDC1,Uroporphyrinogen decarboxylase (uroporphyrinogen III),4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c,CIW80_15050,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.00025004544699180605,0.0002500454470133348
TMDPP,Thymidine phosphorylase,pi_c + thymd_c <=> 2dr1p_c + thym_c,CIW80_17565,Nucleotide Salvage Pathway,Not essential,-1000.0,1000.0,0.0,1.3455470245788344e-13
EX_ade_e,Adenine exchange,ade_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,7.82863723391314e-14
EX_4abut_e,4-Aminobutanoate exchange,4abut_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,3.914318616956645e-13
EX_ac_e,Acetate exchange,ac_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,20.8395823352731,23.1256916062395
EX_akg_e,2-Oxoglutarate exchange,akg_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,6.271141083167727e-13
EX_ala__L_e,L-Alanine exchange,ala__L_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,1.3796510382969036e-12
EX_arg__L_e,L-Arginine exchange,arg__L_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,1.8643932949958008e-13
EX_asp__L_e,L-Aspartate exchange,asp__L_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,6.898255191484408e-13
EX_cytd_e,Cytidine exchange,cytd_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,1.567785270791911e-13
EX_dcyt_e,Deoxycytidine exchange,dcyt_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,1.4677138705286014e-13
EX_fum_e,Fumarate exchange,fum_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,8.622818989355588e-13
EX_glu__L_e,L-Glutamate exchange,glu__L_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,5.748545992903768e-13
EX_gua_e,Guanine exchange,gua_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,1.094961141505469e-13
HCO3E,HCO3 equilibration reaction,co2_c + h2o_c <=> h_c + hco3_c,CIW80_18385,Unassigned,Essential,-1000.0,1000.0,0.5893716952001136,0.589371695201771
IMPC,IMP cyclohydrolase,h2o_c + imp_c <=> fprica_c,CIW80_15100,Purine and Pyrimidine Biosynthesis,Essential,-1000.0,1000.0,-0.608330297970306,-0.6083302979701695
IMPD,IMP dehydrogenase,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,CIW80_06355,Purine and Pyrimidine Biosynthesis,Not essential,0.0,1000.0,0.27272669946504896,0.272726699466712
ECOAH4,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),3hdcoa_c <=> dc2coa_c + h2o_c,CIW80_05635 or CIW80_14210,Membrane Lipid Metabolism,Not essential,-1000.0,1000.0,0.3990411375573979,0.3990411375581828
GLUTRS,Glutamyl-tRNA synthetase,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,CIW80_05875,tRNA Charging,Essential,0.0,1000.0,0.004000727151868897,0.004000727152144823
TMPPP,Thiamine-phosphate diphosphorylase,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c,CIW80_15030,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.00025004544699180594,0.0002500454470343878
URIK1,Uridine kinase  ATPUridine ,atp_c + uri_c --> adp_c + h_c + ump_c,CIW80_04120,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,1.7245637978711304e-12
URIK2,Uridine kinase (GTP:Uridine),gtp_c + uri_c --> gdp_c + h_c + ump_c,CIW80_04120,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,1.7245637978711302e-12
CYTDK1,ATP:cytidine 5'-phosphotransferase,atp_c + cytd_c --> adp_c + cmp_c + h_c,CIW80_04120,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,1.7245637978711304e-12
CYTDK2,Cytidine kinase (GTP),cytd_c + gtp_c --> cmp_c + gdp_c + h_c,CIW80_04120,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,1.7245637978711304e-12
XPPT,Xanthine phosphoribosyltransferase,prpp_c + xan_c --> ppi_c + xmp_c,CIW80_19465,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,-2.0414430083419628e-13,8.622818989355631e-13
HXPRT,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),hxan_c + prpp_c --> imp_c + ppi_c,CIW80_19465 or CIW80_18380,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,8.622818989355604e-13
NDPK5,Nucleoside-diphosphate kinase (ATP:dGDP),atp_c + dgdp_c <=> adp_c + dgtp_c,CIW80_20510 or CIW80_06420,Nucleotide Salvage Pathway,Not essential,-1000.0,1000.0,-1.9418274236166993e-12,3.4491275957423633e-12
DHORTS,Dihydroorotase,dhor__S_c + h2o_c <=> cbasp_c + h_c,CIW80_23920,Purine and Pyrimidine Biosynthesis,Essential,-1000.0,1000.0,-0.37091382797185546,-0.3709138279715194
OMPDC,Orotidine-5'-phosphate decarboxylase,h_c + orot5p_c --> co2_c + ump_c,CIW80_25370,Purine and Pyrimidine Biosynthesis,Essential,0.0,1000.0,0.3709138279715446,0.37091382797182043
CS,Citrate synthase,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,CIW80_21570,Citric Acid Cycle,Essential,0.0,1000.0,1.2055913194709136,1.2055913194726382
ICDHyr,Isocitrate dehydrogenase (NADP),icit_c + nadp_c <=> akg_c + co2_c + nadph_c,CIW80_24300,Citric Acid Cycle,Essential,-1000.0,1000.0,1.2055913194709136,1.2055913194722934
ACALD,Acetaldehyde dehydrogenase (acetylating),acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c,CIW80_25140,Pyruvate Metabolism,Not essential,-1000.0,1000.0,-3.884371816297047e-12,3.4491275957422115e-12
ACS,Acetyl-CoA synthetase,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,CIW80_15590,Pyruvate Metabolism,Not essential,0.0,1000.0,0.0,-1.9149745837304488e-12
PPA,Inorganic diphosphatase,h2o_c + ppi_c --> h_c + 2.0 pi_c,CIW80_07420 or CIW80_06310 or CIW80_16495,Anaplerotic Reactions,Essential,0.0,1000.0,3.89689325712432,3.8968932571230153
PPCK,Phosphoenolpyruvate carboxykinase,atp_c + oaa_c --> adp_c + co2_c + pep_c,CIW80_11530,Anaplerotic Reactions,Not essential,0.0,1000.0,0.0,-1.9222041124720653e-12
ME1,Malic enzyme (NAD),mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,CIW80_00380,Anaplerotic Reactions,Not essential,0.0,1000.0,0.0,-1.9222041124720956e-12
ALAR,Alanine racemase,ala__L_c <=> ala__D_c,CIW80_24810 or CIW80_15425,Alanine and Aspartate Metabolism,Essential,-1000.0,1000.0,0.046737194266872,0.04673719426302759
ALATA_L,L-alanine transaminase,akg_c + ala__L_c <=> glu__L_c + pyr_c,CIW80_05385 or CIW80_05780,Alanine and Aspartate Metabolism,Not essential,-1000.0,1000.0,-1000.0,998.8731068408098
XYLK,Xylulokinase,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c,CIW80_18000 or CIW80_12540,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,0.0
RBK,Ribokinase,atp_c + rib__D_c --> adp_c + h_c + r5p_c,CIW80_13625,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,1.1907459103809232e-13
GLYK,Glycerol kinase,atp_c + glyc_c --> adp_c + glyc3p_c + h_c,CIW80_14640,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,2.381491820761764e-13
PPM,Phosphopentomutase,r1p_c <=> r5p_c,CIW80_17570,Alternate Carbon Metabolism,Not essential,-1000.0,1000.0,-1000.0,-0.0007546214609882691
ASPTA,Aspartate transaminase,akg_c + asp__L_c <=> glu__L_c + oaa_c,CIW80_22655 or CIW80_15440,Alanine and Aspartate Metabolism,Essential,-1000.0,1000.0,-3.2829094652518,-3.2829094652370956
FBP,Fructose-bisphosphatase,fdp_c + h2o_c --> f6p_c + pi_c,CIW80_16520 or CIW80_14635 or CIW80_13345,Glycolysis/Gluconeogenesis,Not essential,0.0,1000.0,0.0,1.1566492924549944e-13
GLGC,Glucose-1-phosphate adenylyltransferase,atp_c + g1p_c + h_c --> adpglc_c + ppi_c,CIW80_11730,Glycolysis/Gluconeogenesis,Not essential,0.0,1000.0,0.0,1.1566492924549977e-13
PYK,Pyruvate kinase,adp_c + h_c + pep_c --> atp_c + pyr_c,CIW80_02190 or CIW80_01245,Glycolysis/Gluconeogenesis,Not essential,0.0,1000.0,0.0,11.188377891208313
A5PISO,Arabinose-5-phosphate isomerase,ru5p__D_c <=> ara5p_c,CIW80_10455 or CIW80_07210,Alternate Carbon Metabolism,Essential,-1000.0,1000.0,0.043631248580023096,0.043631248580026157
EX_met__L_e,L-Methionine exchange,met__L_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,8.566303386516624e-15
EX_metsox_S__L_e,L-Methionine S-oxide exchange,metsox_S__L_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,9.683647306497129e-15
IPPMIb,2-isopropylmalate hydratase,2ippm_c + h2o_c <=> 3c3hmp_c,CIW80_18060 and CIW80_18065,"Valine, Leucine, and Isoleucine Metabolism",Essential,-1000.0,1000.0,-0.5051714138080348,-0.5051714138056743
ACHBS,2-aceto-2-hydroxybutanoate synthase,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,(CIW80_13230 and CIW80_13235) or (CIW80_18090 and CIW80_18095),"Valine, Leucine, and Isoleucine Metabolism",Essential,0.0,1000.0,0.3257643662290689,0.3257643662290867
ACLS,Acetolactate synthase,h_c + 2.0 pyr_c --> alac__S_c + co2_c,(CIW80_18090 and CIW80_18095) or (CIW80_13230 and CIW80_13235),"Valine, Leucine, and Isoleucine Metabolism",Essential,0.0,1000.0,0.9804102571743843,0.9804102571744304
PSCVT,3-phosphoshikimate 1-carboxyvinyltransferase,pep_c + skm5p_c <=> 3psme_c + pi_c,CIW80_22555,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Essential,-1000.0,1000.0,0.42734112426937265,0.427341124269388
ANS,Anthranilate synthase,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,CIW80_25255 and CIW80_25260,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Essential,0.0,1000.0,0.06373692082222074,0.06373692082223086
ANPRT,Anthranilate phosphoribosyltransferase,anth_c + prpp_c --> ppi_c + pran_c,CIW80_25255,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Essential,0.0,1000.0,0.06373692082222072,0.06373692082223087
CHORM,Chorismate mutase,chor_c --> pphn_c,CIW80_06825 or CIW80_06830,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Essential,0.0,1000.0,0.3626040216591847,0.36260402165919864
CHORS,Chorismate synthase,3psme_c --> chor_c + pi_c,CIW80_05575,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Essential,0.0,1000.0,0.42734112426937265,0.42734112426938803
IGPS,Indole-3-glycerol-phosphate synthase,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c,CIW80_25250,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Essential,0.0,1000.0,0.06373692082222075,0.06373692082223088
EX_crn_e,L-Carnitine exchange,crn_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,0.0
EX_fe3_e,Fe3+ exchange,fe3_e <=> ,,Extracellular exchange,Not essential,-1000.0,1000.0,-0.008754954500150573,-0.008754954484361819
EX_glcn_e,D-Gluconate exchange,glcn_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,4.0495252372623933e-14
EX_gln__L_e,L-Glutamine exchange,gln__L_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,3.426521354606699e-14
EX_glyc_e,Glycerol exchange,glyc_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,4.949419734431897e-14
EX_man_e,D-Mannose exchange,man_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,3.712064800823896e-14
EX_mn2_e,Mn2+ exchange,mn2_e <=> ,,Extracellular exchange,Essential,-1000.0,1000.0,-0.0007748045016652372,-0.0007748045016651924
EX_rib__D_e,D-Ribose exchange,rib__D_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,4.4544777609885604e-14
EX_sbt__D_e,D-Sorbitol exchange,sbt__D_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,0.0
ECOAH6,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),3htdcoa_c <=> h2o_c + td2coa_c,CIW80_05635 or CIW80_14210,Membrane Lipid Metabolism,Not essential,-1000.0,1000.0,0.3117786403954409,0.3117786403980011
ENO,Enolase,2pg_c <=> h2o_c + pep_c,CIW80_07580,Glycolysis/Gluconeogenesis,Not essential,-1000.0,1000.0,33.150979185115034,35.437088456091054
FBA,Fructose-bisphosphate aldolase,fdp_c <=> dhap_c + g3p_c,CIW80_08350 or CIW80_04270,Glycolysis/Gluconeogenesis,Not essential,-1000.0,1000.0,-7.67038377419057e-12,19.024324534637444
MGSA,Methylglyoxal synthase,dhap_c --> mthgxl_c + pi_c,CIW80_22805,Methylglyoxal Metabolism,Not essential,0.0,1000.0,-6.13796371012538e-12,-2.9308734460003885e-13
PPS,Phosphoenolpyruvate synthase,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c,CIW80_01385,Glycolysis/Gluconeogenesis,Not essential,0.0,1000.0,0.0,-5.861746892000753e-13
PGI,Glucose-6-phosphate isomerase,g6p_c <=> f6p_c,CIW80_15260,Glycolysis/Gluconeogenesis,Not essential,-1000.0,1000.0,13.141672187076203,19.99999999999941
PGK,Phosphoglycerate kinase,3pg_c + atp_c <=> 13dpg_c + adp_c,CIW80_08355,Glycolysis/Gluconeogenesis,Not essential,-1000.0,1000.0,-37.30247906953533,-35.016369798568185
EDA,2-dehydro-3-deoxy-phosphogluconate aldolase,2ddg6p_c --> g3p_c + pyr_c,CIW80_02170,Pentose Phosphate Pathway,Not essential,0.0,1000.0,-3.4099798389585604e-12,-1.2408030751402526e-12
PGL,6-phosphogluconolactonase,6pgl_c + h2o_c --> 6pgc_c + h_c,CIW80_21825,Pentose Phosphate Pathway,Not essential,0.0,1000.0,-6.1379637101253724e-12,6.858327812892696
RPE,Ribulose 5-phosphate 3-epimerase,ru5p__D_c <=> xu5p__D_c,CIW80_11440,Pentose Phosphate Pathway,Not essential,-1000.0,1000.0,-0.8697279577450091,3.7024905841690128
TALA,Transaldolase,g3p_c + s7p_c <=> e4p_c + f6p_c,CIW80_17715 or CIW80_06160,Pentose Phosphate Pathway,Not essential,-1000.0,1000.0,-19.24576799680679,2.064665808772202
TKT1,Transketolase,r5p_c + xu5p__D_c <=> g3p_c + s7p_c,CIW80_08430 or CIW80_06165,Pentose Phosphate Pathway,Not essential,-1000.0,1000.0,-0.22144346218480468,2.0646658087722023
G6PDA,Glucosamine-6-phosphate deaminase,gam6p_c + h2o_c --> f6p_c + nh4_c,CIW80_21365,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,7.423595611037151e-13
ALCD2x,Alcohol dehydrogenase (ethanol),etoh_c + nad_c <=> acald_c + h_c + nadh_c,CIW80_25140 or CIW80_00375,Pyruvate Metabolism,Not essential,-1000.0,1000.0,4.578187145114934e-11,0.0
ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c,CIW80_12645 or CIW80_09450 or CIW80_09415 or CIW80_20625 or CIW80_16675,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,1.3489363007256747e-12
RMI,L-rhamnose isomerase,rmn_c <=> rml_c,CIW80_14520,Alternate Carbon Metabolism,Not essential,-1000.0,1000.0,1.5260623817050295e-11,0.0
EX_ura_e,Uracil exchange,ura_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,1.2847012387863736e-13
EX_val__L_e,L-Valine exchange,val__L_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,2.6978726014513816e-13
EX_xan_e,Xanthine exchange,xan_e --> ,,Extracellular exchange,Not essential,0.0,1000.0,0.0,5.864940437937781e-14
FMNAT,FMN adenylyltransferase,atp_c + fmn_c + h_c --> fad_c + ppi_c,CIW80_17795,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.00025004544699160124,0.00025004544700495704
NADDP,NAD diphosphatase,h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c,CIW80_15045 or CIW80_05940,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,0.0,3.372340751814228e-13
NMNAT,Nicotinamide-nucleotide adenylyltransferase,atp_c + h_c + nmn_c --> nad_c + ppi_c,CIW80_17605 or CIW80_21215,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,1.1445467862786989e-11,3.372340751814228e-13
HMPK1,Hydroxymethylpyrimidine kinase (ATP),4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c,CIW80_04300 or CIW80_05975,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,0.0,0.0
NDPK6,Nucleoside-diphosphate kinase (ATP:dUDP),atp_c + dudp_c <=> adp_c + dutp_c,CIW80_20510 or CIW80_06420,Nucleotide Salvage Pathway,Not essential,-1000.0,1000.0,-0.02933941327750187,-0.02933941329904387
NDPK8,Nucleoside-diphosphate kinase (ATP:dADP),atp_c + dadp_c <=> adp_c + datp_c,CIW80_20510 or CIW80_06420,Nucleotide Salvage Pathway,Not essential,-1000.0,1000.0,2.288640364106041e-11,1.348936300725738e-12
PYNP2r,Pyrimidine-nucleoside phosphorylase (uracil),pi_c + uri_c <=> r1p_c + ura_c,CIW80_14115,Nucleotide Salvage Pathway,Not essential,-1000.0,1000.0,2.289093572557432e-11,6.744681503628441e-13
DURIPP,Deoxyuridine phosphorylase,duri_c + pi_c <=> 2dr1p_c + ura_c,CIW80_17565 or CIW80_17575,Nucleotide Salvage Pathway,Not essential,-1000.0,1000.0,1.1445467862786929e-11,6.744681503628488e-13
PTRCTA,Putrescine Transaminase,akg_c + ptrc_c --> 4abutn_c + glu__L_c,CIW80_09865,Arginine and Proline Metabolism,Not essential,0.0,1000.0,0.0,3.3723407518142215e-13
CYSDS,Cysteine Desulfhydrase,cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c,CIW80_09435 or CIW80_13410,Cysteine Metabolism,Not essential,0.0,1000.0,0.0,2.697872601451394e-13
TRPAS2,Tryptophanase (L-tryptophan),h2o_c + trp__L_c <=> indole_c + nh4_c + pyr_c,CIW80_13410,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Not essential,-1000.0,1000.0,-0.06373692082031317,-0.0637369208217711
NDP3,Nucleoside diphosphatase  GDP ,gdp_c + h2o_c --> gmp_c + h_c + pi_c,CIW80_24290 or CIW80_12785,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,6.744681503628473e-13
CDPPH,CDP phosphohydrolase,cdp_c + h2o_c --> cmp_c + h_c + pi_c,CIW80_12785,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,6.74468150362845e-13
NDP7,Nucleoside diphosphatase  UDP ,h2o_c + udp_c --> h_c + pi_c + ump_c,CIW80_12785,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,6.744681503628447e-13
EX_co2_e,CO2 exchange,co2_e <=> ,,Extracellular exchange,Not essential,-1000.0,1000.0,12.495117087932401,17.06733562988146
PMDPHT,Pyrimidine phosphatase,5aprbu_c + h2o_c --> 4r5au_c + pi_c,CIW80_22225 or CIW80_13940,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.0005000908939834072,0.0005000908940036835
ILETA,Isoleucine transaminase,akg_c + ile__L_c <=> 3mop_c + glu__L_c,CIW80_13715,"Valine, Leucine, and Isoleucine Metabolism",Essential,-1000.0,1000.0,-0.32576436622977173,-0.32576436622906896
VALTA,Valine transaminase,akg_c + val__L_c <=> 3mob_c + glu__L_c,CIW80_13715,"Valine, Leucine, and Isoleucine Metabolism",Not essential,-1000.0,1000.0,-1000.0,998.8731068408097
ORPT,Orotate phosphoribosyltransferase,orot5p_c + ppi_c <=> orot_c + prpp_c,CIW80_12910,Purine and Pyrimidine Biosynthesis,Essential,-1000.0,1000.0,-0.3709138279745086,-0.3709138279715303
RBFSa,Riboflavin synthase,4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c,CIW80_20190,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.0010001817879668144,0.001000181788034123
DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",23dhmp_c --> 3mop_c + h2o_c,CIW80_13720,"Valine, Leucine, and Isoleucine Metabolism",Essential,0.0,1000.0,0.32576436622906896,0.3257643662292318
G1PP,Glucose-1-phosphatase,g1p_c + h2o_c --> glc__D_c + pi_c,CIW80_05400 or CIW80_14405 or CIW80_13345,Glycolysis/Gluconeogenesis,Not essential,0.0,1000.0,0.0,1.0180427581289655e-12
