Unnamed: 0,CU651637,CP001855,CP002167,CP000468,CP000946,CP000819,CP001665,AM946981,CP001509,CP001396,CP001637,AP012030,CU928162,CP000802,CU928160,CP002516,AP009240,AP009378,CP000948,U00096,AP009048,CP002185,CP002967,FN554766,CU928145,AP010958,AP010960,CP001164,AE005174,BA000007,CP001368,AP010953,CP001846,CP000970,FM180568,CP000800,FN649414,CP002729,CP001969,CU928161,CP000247,CP001671,AE014075,CU928164,CP002797,CU928163,CP000243,CP001063,CP000036,CP000034,CP001383,AE014073,AE005674,CP000266,CP000038
CIW80_00055,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
CIW80_00060,LF82_1289,NRG857_07040,UM146_09895,APECO1_572,EcolC_2235,ECB_01381,ECBD_2215,B21_01393,ECD_01381,BWG_1250,EcDH1_2222,ECDH1ME8569_1366,ECED1_1580,EcHS_A1506,ECIAI1_1419,EKO11_2395,ECSE_1506,ECSF_1351,ECDH10B_1552,b1424,mdoD,ECW_m1553,WFL_07585,EC042_1552,EC55989_1555,ECO103_1556,ECO111_1814,ECH74115_2029,Z2294,ECs_2029,ECSP_1905,ECO26_2023,G2583_1786,EcSMS35_1750,E2348C_1568,EcE24377A_1603,ETEC_1496,UMNK88_1823,ECOK1_1588,ECS88_1519,ECP_1429,ECABU_c16570,c1849,None,ECNA114_1563,ECUMN_1672,UTI89_C1645,SbBS512_E1649,SBO_1663,SDY_1756,SFxv_1999,S1488,SF1786,SFV_1781,SSON_1718
CIW80_00065,None,None,UM146_09890,None,None,ECB_01382,None,None,ECD_01382,None,None,None,ECED1_1581,None,ECIAI1_1420,None,None,None,None,None,None,None,None,None,EC55989_1556,None,None,None,Z2293,None,None,None,G2583_1787,None,None,None,None,None,None,ECS88_1520,None,None,None,None,None,ECUMN_1673,None,None,SBO_1662,SDY_1755,SFxv_1998,S1489,SF1785,None,SSON_1717
CIW80_00070,LF82_2793,NRG857_07050,UM146_09885,None,EcolC_2234,ECB_01383,ECBD_2214,B21_01394,ECD_01383,BWG_1251,EcDH1_2221,ECDH1ME8569_1367,ECED1_1582,EcHS_A1507,ECIAI1_1421,EKO11_2394,ECSE_1507,ECSF_1352,ECDH10B_1553,b1426,ydcH,ECW_m1554,WFL_07595,EC042_1553,EC55989_1557,ECO103_1557,ECO111_1815,ECH74115_2030,Z2292,ECs_2031,ECSP_1906,ECO26_2024,G2583_1788,EcSMS35_1749,E2348C_1569,EcE24377A_1604,ETEC_1497,UMNK88_1824,ECOK1_1589,ECS88_1521,ECP_1430,ECABU_c16580,c1850,None,ECNA114_1564,ECUMN_1674,UTI89_C1646,SbBS512_E1650,SBO_1661,SDY_1752,SFxv_1997,S1490,SF1784,SFV_1780,SSON_1716
CIW80_00075,LF82_1889,NRG857_07055,UM146_09880,APECO1_573,EcolC_2233,ECB_01384,ECBD_2213,B21_01395,ECD_01384,BWG_1252,EcDH1_2220,ECDH1ME8569_1368,ECED1_1583,EcHS_A1508,ECIAI1_1422,EKO11_2393,ECSE_1508,ECSF_1353,ECDH10B_1554,b1427,rimL,ECW_m1555,WFL_07600,EC042_1554,EC55989_1558,ECO103_1558,ECO111_1816,None,Z2291,ECs_2032,None,ECO26_2025,G2583_1789,EcSMS35_1747,E2348C_1570,EcE24377A_1606,ETEC_1498,UMNK88_1826,ECOK1_1591,ECS88_1522,ECP_1431,ECABU_c16590,c1851,None,ECNA114_1565,ECUMN_1675,UTI89_C1647,SbBS512_E1652,SBO_1660,SDY_1751,SFxv_1996,S1491,SF1783,SFV_1779,SSON_1715
CIW80_00080,LF82_2796,NRG857_07060,UM146_09875,APECO1_574,EcolC_2232,ECB_01385,ECBD_2212,B21_01396,ECD_01385,BWG_1253,EcDH1_2219,ECDH1ME8569_1369,ECED1_1584,EcHS_A1509,ECIAI1_1423,EKO11_2392,ECSE_1509,ECSF_1354,ECDH10B_1555,b1428,ydcK,ECW_m1556,WFL_07605,EC042_1555,EC55989_1559,ECO103_1559,ECO111_1817,ECH74115_2032,Z2290,ECs_2033,ECSP_1908,ECO26_2026,G2583_1790,EcSMS35_1748,E2348C_1571,EcE24377A_1605,ETEC_1499,UMNK88_1825,ECOK1_1590,ECS88_1523,ECP_1432,ECABU_c16600,c1852,None,ECNA114_1566,ECUMN_1676,UTI89_C1648,SbBS512_E1651,SBO_1659,SDY_1749,SFxv_1995,S1492,SF1782,SFV_1778,SSON_1714
CIW80_00085,LF82_2240,NRG857_07065,UM146_09870,APECO1_575,EcolC_2231,ECB_01386,ECBD_2211,B21_01397,ECD_01386,BWG_1254,EcDH1_2218,ECDH1ME8569_1370,ECED1_1585,EcHS_A1510,ECIAI1_1424,EKO11_2391,ECSE_1510,ECSF_1355,ECDH10B_1556,b1429,tehA,ECW_m1557,WFL_07610,EC042_1556,EC55989_1560,ECO103_1560,ECO111_1818,ECH74115_2034,Z2289,ECs_2034,ECSP_1909,ECO26_2027,G2583_1791,EcSMS35_1746,E2348C_1572,EcE24377A_1607,ETEC_1500,UMNK88_1827,ECOK1_1592,ECS88_1524,ECP_1433,ECABU_c16610,c1853,None,ECNA114_1567,ECUMN_1677,UTI89_C1649,SbBS512_E1656,SBO_1658,SDY_1748,SFxv_1994,S1493,SF1781,SFV_1777,SSON_1713
CIW80_00090,LF82_2241,NRG857_07070,UM146_09865,APECO1_576,EcolC_2230,ECB_01387,ECBD_2210,B21_01398,ECD_01387,BWG_1255,EcDH1_2217,ECDH1ME8569_1371,ECED1_1586,EcHS_A1511,ECIAI1_1425,EKO11_2390,ECSE_1511,ECSF_1356,ECDH10B_1557,b1430,tehB,ECW_m1558,WFL_07615,EC042_1557,EC55989_1561,ECO103_1561,ECO111_1819,ECH74115_2035,Z2288,ECs_2035,ECSP_1910,ECO26_2028,G2583_1792,EcSMS35_1745,E2348C_1573,EcE24377A_1608,ETEC_1501,UMNK88_1828,ECOK1_1593,ECS88_1525,ECP_1434,ECABU_c16620,c1854,None,ECNA114_1568,ECUMN_1678,UTI89_C1650,SbBS512_E1657,SBO_1657,SDY_1747,SFxv_1993,S1494,SF1780,SFV_1776,SSON_1712
CIW80_00095,LF82_2797,NRG857_07075,UM146_09860,APECO1_577,EcolC_2229,ECB_01388,ECBD_2209,B21_01399,ECD_01388,BWG_1256,EcDH1_2216,ECDH1ME8569_1372,ECED1_1587,EcHS_A1513,ECIAI1_1426,EKO11_2389,ECSE_1512,ECSF_1357,ECDH10B_1558,b1431,ydcL,ECW_m1559,WFL_07620,EC042_1558,EC55989_1562,ECO103_1562,ECO111_1820,ECH74115_2036,Z2287,ECs_2036,ECSP_1911,ECO26_2029,G2583_1793,EcSMS35_1744,E2348C_1574,EcE24377A_1609,ETEC_1502,UMNK88_1830,ECOK1_1594,ECS88_1526,ECP_1435,ECABU_c16630,c1856,None,ECNA114_1569,ECUMN_1679,UTI89_C1651,None,SBO_1654,SDY_1746,SFxv_1991,S1495,SF1779,SFV_1775,None
CIW80_00100,LF82_2799,NRG857_07080,None,APECO1_578,EcolC_2226,ECB_01391,ECBD_2206,B21_01401,ECD_01391,BWG_1258,EcDH1_2213,ECDH1ME8569_1376,ECED1_1588,EcHS_A1518,ECIAI1_1430,EKO11_2386,ECSE_1514,ECSF_1358,ECDH10B_1563,b1433,ydcO,ECW_m1561,WFL_07640,EC042_1559,EC55989_1566,ECO103_1564,ECO111_1823,None,Z2286,ECs_2037,None,ECO26_2032,G2583_1794,EcSMS35_1742,E2348C_1575,EcE24377A_1612,ETEC_1504,UMNK88_1835,ECOK1_1595,ECS88_1527,ECP_1436,ECABU_c16650,c1857,None,ECNA114_1570,ECUMN_1680,UTI89_C1652,None,None,None,None,None,None,None,None
CIW80_00105,LF82_2798,NRG857_07085,UM146_09845,APECO1_579,EcolC_2225,ECB_01392,ECBD_2205,B21_01402,ECD_01392,BWG_1259,EcDH1_2212,ECDH1ME8569_1377,ECED1_1589,EcHS_A1517,ECIAI1_1431,EKO11_2385,ECSE_1515,ECSF_1359,ECDH10B_1564,b1434,ydcN,ECW_m1562,WFL_07645,EC042_1560,EC55989_1567,ECO103_1565,ECO111_1824,ECH74115_2039,Z2285,ECs_2038,ECSP_1913,ECO26_2033,G2583_1795,EcSMS35_1740,E2348C_1576,EcE24377A_1613,ETEC_1505,UMNK88_1836,ECOK1_1596,ECS88_1528,ECP_1437,ECABU_c16640,c1858,None,ECNA114_1571,ECUMN_1681,UTI89_C1653,None,None,SDY_1742,None,None,None,None,SSON_1704
CIW80_00110,LF82_2800,NRG857_07090,UM146_09840,APECO1_580,EcolC_2224,ECB_01393,ECBD_2204,B21_01403,ECD_01393,BWG_1260,EcDH1_2211,ECDH1ME8569_1378,ECED1_1590,EcHS_A1519,ECIAI1_1432,EKO11_2384,ECSE_1516,ECSF_1360,ECDH10B_1565,b1435,ydcP,ECW_m1563,WFL_07650,EC042_1561,EC55989_1568,ECO103_1566,ECO111_1825,ECH74115_2040,Z2284,ECs_2039,ECSP_1914,ECO26_2034,G2583_1796,EcSMS35_1739,E2348C_1577,EcE24377A_1614,ETEC_1506,UMNK88_1837,ECOK1_1597,ECS88_1529,ECP_1438,ECABU_c16660,c1859,None,ECNA114_1572,ECUMN_1683,UTI89_C1654,None,None,SDY_1740,None,None,None,None,SSON_1703
CIW80_00115,LF82_3560,NRG857_07095,UM146_09835,None,EcolC_2223,ECB_01394,ECBD_2203,B21_01404,ECD_01394,BWG_1261,EcDH1_2210,ECDH1ME8569_1379,ECED1_1591,EcHS_A1520,ECIAI1_1433,EKO11_2383,ECSE_1517,ECSF_1361,ECDH10B_1566,b1436,yncJ,ECW_m1564,WFL_07655,EC042_1564,EC55989_1569,ECO103_1567,ECO111_1826,ECH74115_2041,Z2283,ECs_2040,ECSP_1915,ECO26_2035,G2583_1797,EcSMS35_1738,E2348C_1578,EcE24377A_1615,ETEC_1507,UMNK88_1838,ECOK1_1598,ECS88_1530,ECP_1439,ECABU_c16670,c1860,None,ECNA114_1573,ECUMN_1684,UTI89_C1655,None,None,None,None,None,None,None,SSON_1702
CIW80_00120,LF82_224,NRG857_07100,None,None,EcolC_2221,ECB_01395,ECBD_2201,B21_01406,ECD_01395,BWG_1263,EcDH1_2208,ECDH1ME8569_1381,ECED1_1592,EcHS_A1522,ECIAI1_1434,EKO11_2381,ECSE_1520,ECSF_1362,ECDH10B_1568,b1438,ydcQ,ECW_m1566,WFL_07665,EC042_1566,EC55989_1570,ECO103_1568,ECO111_1827,ECH74115_2043,Z2281,ECs_2042,ECSP_1918,ECO26_2036,G2583_1799,EcSMS35_1736,None,EcE24377A_1617,ETEC_1509,UMNK88_1841,ECOK1_1600,ECS88_1531,ECP_1440,ECABU_c16680,c1862,None,ECNA114_1574,ECUMN_1686,UTI89_C1657,None,None,SDY_1736,None,None,None,None,SSON_1699
CIW80_00125,LF82_2801,NRG857_07105,UM146_09830,APECO1_581,EcolC_2220,ECB_01396,ECBD_2200,B21_01407,ECD_01396,BWG_1264,EcDH1_2207,ECDH1ME8569_1382,ECED1_1593,EcHS_A1523,ECIAI1_1435,EKO11_2380,ECSE_1521,ECSF_1363,ECDH10B_1569,b1439,ydcR,ECW_m1567,WFL_07670,EC042_1567,EC55989_1571,ECO103_1569,ECO111_1828,ECH74115_2044,Z2280,ECs_2043,ECSP_1919,ECO26_2037,G2583_1800,EcSMS35_1735,E2348C_1579,EcE24377A_1618,ETEC_1510,UMNK88_1842,ECOK1_1601,ECS88_1532,ECP_1441,ECABU_c16690,c1863,None,ECNA114_1575,ECUMN_1687,UTI89_C1658,None,None,SDY_1735,None,None,None,None,SSON_1698
CIW80_00130,LF82_2802,NRG857_07110,UM146_09825,APECO1_582,EcolC_2219,ECB_01397,ECBD_2199,B21_01408,ECD_01397,BWG_1265,EcDH1_2206,ECDH1ME8569_1383,ECED1_1594,EcHS_A1524,ECIAI1_1436,EKO11_2379,ECSE_1522,ECSF_1364,ECDH10B_1570,b1440,ydcS,ECW_m1568,WFL_07675,EC042_1568,EC55989_1572,ECO103_1570,ECO111_1829,ECH74115_2045,Z2279,ECs_2044,ECSP_1920,ECO26_2039,G2583_1801,EcSMS35_1734,E2348C_1580,EcE24377A_1619,ETEC_1511,UMNK88_1843,ECOK1_1602,ECS88_1533,ECP_1442,ECABU_c16700,c1864,None,ECNA114_1576,ECUMN_1688,UTI89_C1659,None,None,SDY_1734,None,None,None,None,SSON_1697
CIW80_00135,LF82_2803,NRG857_07115,UM146_09820,APECO1_583,EcolC_2218,ECB_01398,ECBD_2198,B21_01409,ECD_01398,BWG_1266,EcDH1_2205,ECDH1ME8569_1384,ECED1_1595,EcHS_A1525,ECIAI1_1437,EKO11_2378,ECSE_1523,ECSF_1365,ECDH10B_1571,b1441,ydcT,ECW_m1569,WFL_07680,EC042_1569,EC55989_1573,ECO103_1571,ECO111_1830,ECH74115_2046,Z2278,ECs_2045,ECSP_1921,ECO26_2040,G2583_1802,EcSMS35_1733,E2348C_1581,EcE24377A_1620,ETEC_1512,UMNK88_1844,ECOK1_1603,ECS88_1534,ECP_1443,ECABU_c16710,c1865,None,ECNA114_1577,ECUMN_1689,UTI89_C1660,None,None,SDY_1733,None,None,None,None,SSON_1696
CIW80_00140,LF82_2804,NRG857_07120,UM146_09815,APECO1_584,EcolC_2217,ECB_01399,ECBD_2197,B21_01410,ECD_01399,BWG_1267,EcDH1_2204,ECDH1ME8569_1385,ECED1_1596,EcHS_A1526,ECIAI1_1438,EKO11_2377,ECSE_1524,ECSF_1366,ECDH10B_1572,b1442,ydcU,ECW_m1570,WFL_07685,EC042_1570,EC55989_1574,ECO103_1572,ECO111_1831,ECH74115_2047,Z2277,ECs_2046,ECSP_1922,ECO26_2041,G2583_1803,EcSMS35_1732,E2348C_1582,EcE24377A_1621,ETEC_1513,UMNK88_1845,ECOK1_1604,ECS88_1536,ECP_1444,ECABU_c16720,c1866,None,ECNA114_1578,ECUMN_1690,UTI89_C1661,None,None,None,SFxv_1983,None,SF1776,None,None
CIW80_00145,LF82_2805,NRG857_07125,UM146_09810,APECO1_585,EcolC_2216,ECB_01400,ECBD_2196,B21_01411,ECD_01400,BWG_1268,EcDH1_2203,ECDH1ME8569_1386,ECED1_1597,EcHS_A1527,ECIAI1_1439,EKO11_2376,ECSE_1525,ECSF_1367,ECDH10B_1573,b1443,ydcV,ECW_m1571,WFL_07690,EC042_1571,EC55989_1575,ECO103_1573,ECO111_1832,ECH74115_2048,Z2276,ECs_2047,ECSP_1923,ECO26_2042,G2583_1804,EcSMS35_1731,E2348C_1583,EcE24377A_1622,ETEC_1514,UMNK88_1846,ECOK1_1605,ECS88_1537,ECP_1445,ECABU_c16730,c1867,None,ECNA114_1579,ECUMN_1691,UTI89_C1662,None,None,None,SFxv_1982,S1906,SF1775,SFV_1771,SSON_1694
CIW80_00150,LF82_2806,NRG857_07130,UM146_09805,APECO1_586,EcolC_2215,ECB_01401,ECBD_2195,B21_01412,ECD_01401,BWG_1269,EcDH1_2202,ECDH1ME8569_1387,ECED1_1598,EcHS_A1528,ECIAI1_1440,EKO11_2375,ECSE_1526,ECSF_1368,ECDH10B_1574,b1444,ydcW,ECW_m1572,WFL_07695,EC042_1572,EC55989_1576,ECO103_1574,ECO111_1833,ECH74115_2050,Z2275,ECs_2048,ECSP_1924,ECO26_2043,G2583_1805,EcSMS35_1729,E2348C_1584,EcE24377A_1624,ETEC_1515,UMNK88_1847,ECOK1_1607,ECS88_1538,ECP_1446,ECABU_c16740,c1869,None,ECNA114_1580,ECUMN_1692,UTI89_C1663,None,None,SDY_1730,SFxv_1981,S1905,SF1774,SFV_1770,SSON_1693
CIW80_00155,None,None,None,None,None,None,None,B21_04333,None,BWG_1270,None,None,None,None,None,None,None,None,None,b4598,None,None,None,None,None,None,ECO111_1835,None,None,None,None,None,None,None,E2348C_1585,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
CIW80_00160,None,None,None,APECO1_587,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,UTI89_C1664,None,None,None,None,None,None,None,None
CIW80_00165,LF82_2807,NRG857_07135,UM146_09800,None,EcolC_2214,ECB_01402,ECBD_2194,B21_01413,ECD_01402,BWG_1271,EcDH1_2201,ECDH1ME8569_1388,ECED1_1599,EcHS_A1531,ECIAI1_1442,EKO11_2374,ECSE_1528,ECSF_1369,ECDH10B_1575,b1445,ydcX,ECW_m1573,WFL_07700,EC042_1574,EC55989_1578,ECO103_1576,ECO111_1836,ECH74115_2051,Z2274,ECs_2049,ECSP_1926,ECO26_2046,G2583_1806,EcSMS35_1728,E2348C_1586,EcE24377A_1625,ETEC_1516,UMNK88_1849,ECOK1_1608,ECS88_1539,ECP_1447,ECABU_c16750,c1870,None,ECNA114_1582,ECUMN_1694,UTI89_C1665,None,SBO_1603,SDY_1729,SFxv_1979,S1904,SF1772,SFV_1768,SSON_1691
CIW80_00170,LF82_2808,NRG857_07140,UM146_09795,None,EcolC_2213,ECB_01403,ECBD_2193,B21_01414,ECD_01403,BWG_1272,EcDH1_2200,ECDH1ME8569_1389,ECED1_1600,EcHS_A1532,ECIAI1_1443,EKO11_2373,ECSE_1529,ECSF_1370,ECDH10B_1576,b1446,ydcY,ECW_m1574,WFL_07705,EC042_1575,EC55989_1579,ECO103_1577,ECO111_1837,ECH74115_2052,Z2273,ECs_2050,ECSP_1927,ECO26_2047,G2583_1807,EcSMS35_1727,E2348C_1587,EcE24377A_1627,ETEC_1517,UMNK88_1850,ECOK1_1609,ECS88_1540,ECP_1448,ECABU_c16760,c1871,None,ECNA114_1583,ECUMN_1695,UTI89_C1666,SbBS512_E1716,SBO_1602,None,SFxv_1978,S1903,SF1771,SFV_1767,SSON_1690
CIW80_00175,LF82_2809,NRG857_07145,UM146_09790,APECO1_588,EcolC_2212,ECB_01404,ECBD_2192,B21_01415,ECD_01404,BWG_1273,EcDH1_2199,ECDH1ME8569_1390,ECED1_1601,EcHS_A1533,ECIAI1_1444,EKO11_2372,ECSE_1530,ECSF_1371,ECDH10B_1577,b1447,ydcZ,ECW_m1575,WFL_07710,EC042_1576,EC55989_1580,ECO103_1578,ECO111_1838,ECH74115_2053,Z2272,ECs_2051,ECSP_1928,ECO26_2048,G2583_1808,EcSMS35_1726,E2348C_1588,EcE24377A_1628,ETEC_1518,UMNK88_1851,ECOK1_1610,ECS88_1541,ECP_1449,ECABU_c16770,c1872,None,ECNA114_1584,ECUMN_1696,UTI89_C1667,SbBS512_E1717,SBO_1601,SDY_1726,SFxv_1977,S1902,SF1770,SFV_1766,SSON_1689
